game_id,nflfast_game_id,season,week,game_type
1069714,2021_03_ATL_NYG,NA,3,REG
1069784,2021_05_NE_HOU,NA,5,REG
1069798,2021_05_CHI_LV,NA,5,REG
1069800,2021_05_SF_ARI,NA,5,REG
1070627,2021_09_NE_CAR,NA,9,REG
1071838,2021_10_KC_LV,NA,10,REG
1071848,2021_10_SEA_GB,NA,10,REG
1071894,2021_12_CHI_DET,NA,12,REG
1071896,2021_11_NYG_TB,NA,11,REG
1071960,2021_13_TB_ATL,NA,13,REG
1071962,2021_13_JAX_LA,NA,13,REG
1071964,2021_13_WAS_LV,NA,13,REG
1071966,2021_13_SF_SEA,NA,13,REG
1071968,2021_13_DEN_KC,NA,13,REG
1071970,2021_13_NE_BUF,NA,13,REG
1071998,2021_14_PIT_MIN,NA,14,REG
1072024,2021_15_NYJ_MIA,NA,15,REG
1072046,2021_15_MIN_CHI,NA,15,REG
1072050,2021_15_WAS_PHI,NA,15,REG
1072056,2021_16_NYG_PHI,NA,16,REG
1072064,2021_16_JAX_NYJ,NA,16,REG
1072066,2021_16_DET_ATL,NA,16,REG
1072068,2021_16_LAC_HOU,NA,16,REG
1072070,2021_16_CHI_SEA,NA,16,REG
1072072,2021_16_PIT_KC,NA,16,REG
1072081,2021_17_PHI_WAS,NA,17,REG
1072089,2021_17_LV_IND,NA,17,REG
1072097,2021_17_HOU_SF,NA,17,REG
1072099,2021_17_DEN_LAC,NA,17,REG
1072101,2021_17_CAR_NO,NA,17,REG
1072103,2021_17_DET_SEA,NA,17,REG
1072105,2021_17_ARI_DAL,NA,17,REG
1072107,2021_17_MIN_GB,NA,17,REG
1072109,2021_18_KC_DEN,NA,18,REG
1072111,2021_18_DAL_PHI,NA,18,REG
1072113,2021_18_NYJ_BUF,NA,18,REG
1072115,2021_18_GB_DET,NA,18,REG
1072117,2021_18_IND_JAX,NA,18,REG
1072119,2021_18_LAC_LV,NA,18,REG
1072121,2021_18_WAS_NYG,NA,18,REG
1072123,2021_19_LV_CIN,NA,19,WC
1072125,2021_18_CHI_MIN,NA,18,REG
1072127,2021_18_TEN_HOU,NA,18,REG
1072129,2021_19_NE_BUF,NA,19,WC
1072131,2021_18_SF_LA,NA,18,REG
1072133,2021_19_PHI_TB,NA,19,WC
1072135,2021_18_CAR_TB,NA,18,REG
1072137,2021_18_SEA_ARI,NA,18,REG
1072139,2021_19_SF_DAL,NA,19,WC
1072141,2021_18_NE_MIA,NA,18,REG
1072143,2021_19_PIT_KC,NA,19,WC
1072145,2021_18_NO_ATL,NA,18,REG
1072147,2021_19_ARI_LA,NA,19,WC
1072149,2021_20_CIN_TEN,NA,20,DIV
1072151,2021_20_SF_GB,NA,20,DIV
1072153,2021_20_LA_TB,NA,20,DIV
1072155,2021_20_BUF_KC,NA,20,DIV
1072157,2021_21_CIN_KC,NA,21,CON
1072159,2021_21_SF_LA,NA,21,CON
1072161,2021_22_LA_CIN,NA,22,SB
1502043,2021_01_SF_DET,NA,1,REG
1502045,2021_01_JAX_HOU,NA,1,REG
1502046,2021_01_LAC_WAS,NA,1,REG
1502047,2021_01_SEA_IND,NA,1,REG
1502048,2021_01_NYJ_CAR,NA,1,REG
1502049,2021_01_MIN_CIN,NA,1,REG
1502050,2021_01_ARI_TEN,NA,1,REG
1502051,2021_01_PIT_BUF,NA,1,REG
1502052,2021_01_PHI_ATL,NA,1,REG
1502053,2021_01_CLE_KC,NA,1,REG
1502054,2021_01_GB_NO,NA,1,REG
1502055,2021_01_DEN_NYG,NA,1,REG
1502056,2021_01_MIA_NE,NA,1,REG
1502057,2021_01_BAL_LV,NA,1,REG
1502059,2021_02_NYG_WAS,NA,2,REG
1502060,2021_02_NE_NYJ,NA,2,REG
1502061,2021_02_DEN_JAX,NA,2,REG
1502062,2021_02_BUF_MIA,NA,2,REG
1502063,2021_02_SF_PHI,NA,2,REG
1502064,2021_02_LA_IND,NA,2,REG
1502065,2021_02_LV_PIT,NA,2,REG
1502066,2021_02_CIN_CHI,NA,2,REG
1502067,2021_02_HOU_CLE,NA,2,REG
1502068,2021_02_NO_CAR,NA,2,REG
1502069,2021_02_MIN_ARI,NA,2,REG
1502071,2021_02_DAL_LAC,NA,2,REG
1502072,2021_02_KC_BAL,NA,2,REG
1502073,2021_02_DET_GB,NA,2,REG
