player_name,role,weighted_severity_logit_score,coefficient_source
Robert Quinn,Rusher,0.5426370590625982,lambda.min
T.J. Watt,Rusher,0.5311722523030512,lambda.min
Myles Garrett,Rusher,0.4928888809850467,lambda.min
Khalil Mack,Rusher,0.4502533169153443,lambda.min
Nick Bosa,Rusher,0.42980077528645755,lambda.min
Jaelan Phillips,Rusher,0.4290516978928555,lambda.min
Chandler Jones,Rusher,0.3400341974638454,lambda.min
Markus Golden,Rusher,0.33393418250166473,lambda.min
Jonathan Allen,Rusher,0.330785458645428,lambda.min
Carlos Dunlap,Rusher,0.3237275352485258,lambda.min
Montez Sweat,Rusher,0.3188047605151755,lambda.min
Harold Landry III,Rusher,0.3114227508931423,lambda.min
Micah Parsons,Rusher,0.3059237917312393,lambda.min
Trey Hendrickson,Rusher,0.2916616170284403,lambda.min
Shelby Harris,Rusher,0.290863836150246,lambda.min
Joey Bosa,Rusher,0.29021564960884855,lambda.min
Jadeveon Clowney,Rusher,0.2865910853455379,lambda.min
Yetur Gross-Matos,Rusher,0.2720666838460094,lambda.min
Rashan Gary,Rusher,0.2628264503838204,lambda.min
B.J. Hill,Rusher,0.2623869966195861,lambda.min
Yannick Ngakoue,Rusher,0.26039896399175616,lambda.min
Sheldon Day,Rusher,0.25910935653785644,lambda.min
Joe Thuney,Blocker,0.2576352579134133,lambda.min
Corey Linsley,Blocker,0.25533298850896907,lambda.min
Everson Griffen,Rusher,0.2549445223131598,lambda.min
Tytus Howard,Blocker,0.24990426394963644,lambda.min
Chris Jones,Rusher,0.24531403103109825,lambda.min
Efe Obada,Rusher,0.24064233485008696,lambda.min
Bud Dupree,Rusher,0.24038676808384,lambda.min
David Onyemata,Rusher,0.23913979383727765,lambda.min
Preston Smith,Rusher,0.236461307983381,lambda.min
Daniel Ekuale,Rusher,0.23086240402926672,lambda.min
Marquis Haynes Sr.,Rusher,0.22204008723684276,lambda.min
Akiem Hicks,Rusher,0.22062526016184303,lambda.min
Josh Allen,Rusher,0.21784094618604938,lambda.min
Dion Dawkins,Blocker,0.2153642527158098,lambda.min
Marcus Davenport,Rusher,0.2116596852069808,lambda.min
Javon Hargrave,Rusher,0.20924062042638564,lambda.min
Jeffery Simmons,Rusher,0.20707386685908172,lambda.min
Halapoulivaati Vaitai,Blocker,0.2067119463033162,lambda.min
Shaq Mason,Blocker,0.20302797258814265,lambda.min
Josh Sweat,Rusher,0.1979168537043352,lambda.min
Taylor Stallworth,Rusher,0.1976421580572788,lambda.min
Josh Uche,Rusher,0.19663217400372976,lambda.min
Von Miller,Rusher,0.19634826916869855,lambda.min
Randy Gregory,Rusher,0.19417392359894678,lambda.min
Creed Humphrey,Blocker,0.19309752353581533,lambda.min
Jonathan Greenard,Rusher,0.1927475995912653,lambda.min
Rasheem Green,Rusher,0.19004170103646492,lambda.min
Cameron Heyward,Rusher,0.18927374331938968,lambda.min
Matthew Judon,Rusher,0.18819405890727506,lambda.min
Kemoko Turay,Rusher,0.18797803077985162,lambda.min
Jason Kelce,Blocker,0.18282373366704308,lambda.min
Tanoh Kpassagnon,Rusher,0.17871994879695918,lambda.min
Trent Williams,Blocker,0.17854086092684016,lambda.min
Leonard Floyd,Rusher,0.17528894921870627,lambda.min
Taylor Moton,Blocker,0.17499134121022275,lambda.min
Rashawn Slater,Blocker,0.17383589401489308,lambda.min
David Andrews,Blocker,0.17315721770488463,lambda.min
Mario Addison,Rusher,0.1707997918053333,lambda.min
Ryan Jensen,Blocker,0.1692889738769593,lambda.min
Ted Karras,Blocker,0.16895003281264218,lambda.min
Cameron Jordan,Rusher,0.16727316442891219,lambda.min
Jawaan Taylor,Blocker,0.1654850736931609,lambda.min
Larry Ogunjobi,Rusher,0.1617780580710101,lambda.min
Chris Reed,Blocker,0.15886821134196055,lambda.min
Arik Armstead,Rusher,0.15882129678983925,lambda.min
