player_name,role,role_interactions,win_rank_by_role,win_rank_overall,win_bt_logit_score,win_coefficient_source,win_boot_mean_score,win_boot_sd_score,win_boot_q025_score,win_boot_q25_score,win_boot_q50_score,win_boot_q75_score,win_boot_q975_score,win_boot_n,win_boot_fixed_lambda,win_boot_scope,severity_rank_by_role,severity_rank_overall,severity_weighted_logit_score,severity_coefficient_source,severity_boot_mean_score,severity_boot_sd_score,severity_boot_q025_score,severity_boot_q25_score,severity_boot_q50_score,severity_boot_q75_score,severity_boot_q975_score,severity_boot_n,severity_boot_fixed_lambda,severity_boot_scope
Jordan Mills,Blocker,164,1,1,0.8172258713024168,lambda.min,0.6927775732511677,0.4248772842947636,-0.1574089952271076,0.4269869452526437,0.7343532613886414,1.0084085760871075,1.4056762526073048,1000,1.039457465372263e-4,train_fit_end_to_end,52,144,0.08566305629257397,lambda.min,0.07630106770591276,0.03852075508356312,-0.00153136712479847,0.04658124852462951,0.08046390709010144,0.10368106897418766,0.14852855029805656,1000,8.240743309893662e-5,train_fit_end_to_end
Erik McCoy,Blocker,603,2,2,0.6830906579105447,lambda.min,0.6544606377756957,0.24563317050431652,0.201165822897077,0.47899413816582326,0.66081746147666,0.8099156795980511,1.15473685856624,1000,1.039457465372263e-4,train_fit_end_to_end,60,155,0.0769607967332665,lambda.min,0.07636718609986982,0.0760890171442977,-0.08701134018647025,0.02805711565230523,0.08318240553370541,0.12932344150612554,0.20544548969264712,1000,8.240743309893662e-5,train_fit_end_to_end
Calvin Throckmorton,Blocker,826,3,4,0.6345868737258592,lambda.min,0.6316696444820646,0.195000799127984,0.2724065094728412,0.5006482216860457,0.6249783302691421,0.7517366343659349,1.0444037663683348,1000,1.039457465372263e-4,train_fit_end_to_end,85,203,0.05629688786456882,lambda.min,0.05752524223576807,0.0831561404332985,-0.10924175458487638,0.00314619280558014,0.06088006329299492,0.11683116915432376,0.21193266604526684,1000,8.240743309893662e-5,train_fit_end_to_end
Trey Hopkins,Blocker,812,4,5,0.5979722860063454,lambda.min,0.5964757978642629,0.1287704451587656,0.3471373509565123,0.5112774839217852,0.595955687169985,0.680758427600386,0.8491419452562065,1000,1.039457465372263e-4,train_fit_end_to_end,332,944,-0.17182888209282293,lambda.min,-0.15929004248601275,0.11658808218213204,-0.3916456014581812,-0.2431823096123418,-0.15749384816027728,-0.07942566029816259,0.07227131783895537,1000,8.240743309893662e-5,train_fit_end_to_end
Will Clapp,Blocker,123,5,8,0.5446992989204116,lambda.min,0.41242923678106486,0.385093265805848,-0.16063655785113165,0.05910110006000416,0.4133159676287064,0.7029477008099263,1.1312300264573625,1000,1.039457465372263e-4,train_fit_end_to_end,231,569,-0.02150852128630372,lambda.min,-0.02801984451052153,0.04950670567762477,-0.15535842743192557,-0.04843346975806868,-0.02265187797099313,0.00596000787106322,0.04841888710744393,1000,8.240743309893662e-5,train_fit_end_to_end
Chase Roullier,Blocker,468,6,9,0.5270580381374349,lambda.min,0.5076651855651632,0.12377553225169624,0.24152535131063735,0.43216870071464214,0.5202149722686695,0.5920622811241587,0.7208323440893375,1000,1.039457465372263e-4,train_fit_end_to_end,242,614,-0.02872720620030298,lambda.min,-0.03204076071625857,0.08962106861814821,-0.21774074131141744,-0.08948797240225632,-0.03256514260623575,0.02908409721605214,0.13243870741727473,1000,8.240743309893662e-5,train_fit_end_to_end
Ben Cleveland,Blocker,336,7,16,0.4395486867281549,lambda.min,0.4240899164969555,0.17994105885042236,0.05652754441500957,0.3017182422852175,0.43480116981765726,0.5563411127344271,0.7416253364466194,1000,1.039457465372263e-4,train_fit_end_to_end,65,171,0.07025685747221933,lambda.min,0.06502486110413189,0.05829541157357348,-0.05524943350624834,0.02763308534023505,0.06729653100273064,0.10672937268281207,0.16505779265941753,1000,8.240743309893662e-5,train_fit_end_to_end
Zack Martin,Blocker,932,8,20,0.4244605863768595,lambda.min,0.4174880347746221,0.07969106829931098,0.2607900923559972,0.3638662736037841,0.41674195038922834,0.4704238434047719,0.5759159499754603,1000,1.039457465372263e-4,train_fit_end_to_end,79,195,0.06078639786949256,lambda.min,0.05841725123444458,0.09127071910445612,-0.1202406742802668,-0.00241936028577155,0.05820756080510839,0.12328534655012292,0.2325159966481527,1000,8.240743309893662e-5,train_fit_end_to_end
Joe Thuney,Blocker,1077,9,23,0.41406953045221806,lambda.min,0.4129672282321031,0.10725604415563188,0.19856690054333528,0.3414974949002606,0.41336918475878126,0.4847048166106317,0.6263507463022767,1000,1.039457465372263e-4,train_fit_end_to_end,1,23,0.2576352579134133,lambda.min,0.2505584901538496,0.06830281221188297,0.10573729188050396,0.2082220550029078,0.2548960801608747,0.2966939780610862,0.37660845655515857,1000,8.240743309893662e-5,train_fit_end_to_end
B.J. Finney,Blocker,85,10,24,0.41154903978813584,lambda.min,0.3557036900614666,0.18048406078164453,0,0.2590671076173572,0.3813935134170114,0.4818214685359315,0.6565291979213396,1000,1.039457465372263e-4,train_fit_end_to_end,64,168,0.071483679426169,lambda.min,0.06362400055045697,0.03655388755028295,0,0.03737223704728701,0.06634991197352291,0.08859683919047667,0.1364685196658301,1000,8.240743309893662e-5,train_fit_end_to_end
