term,coef
(Intercept),-1.0792685431504803
rusher::A.J. Epenesa,0.010739426551687054
rusher::A.J. Johnson,-0.02836437483401969
rusher::A'Shawn Robinson,-0.06703552078793401
rusher::Aaron Donald,0.46909983657754306
rusher::Aaron James Klein,0.2503459144436846
rusher::Aaron Patrick,-0.1996834858311289
rusher::Abdullah Anderson,-0.0607673033497996
rusher::Adam Butler,-0.14286911185254542
rusher::Adam Gotsis,0.509792355140149
rusher::Adetokunbo Ogundeji,-0.5130476794952639
rusher::Akeem Davis-Gaither,0.018293385236248728
rusher::Akeem Spence,-0.07356212544040959
rusher::Akiem Hicks,-0.011560148191079223
rusher::Al Woods,0.1879235519773114
rusher::Al-Quadin Muhammad,-0.08378273351903219
rusher::Albert Huggins,0.03688370552551067
rusher::Alec Ogletree,0.08666322426573374
rusher::Alex Anzalone,-0.2815767323058029
rusher::Alex Highsmith,0.18706739034572292
rusher::Alex Okafor,-0.43696764439533836
rusher::Alex Singleton,0.33109115748514795
rusher::Alexander Johnson,-0.033127797557082644
rusher::Alim Mcneill,0.14734394968866046
rusher::Alton Robinson,0.10400334689950178
rusher::Amani Bledsoe,0.08144200637661397
rusher::Amen Ogbongbemiga,0.0886748147897293
rusher::Andre Mintze,-0.3074971111420038
rusher::Andrew Billings,0.015283408270413685
rusher::Andrew Brown,-0.0058760604156443816
rusher::Andrew Dowell,0.08743244341272496
rusher::Andrew Van Ginkel,-0.14853598190279677
rusher::Angelo Blackson,0.12561866669314187
rusher::Anthony Barr,0.09817815676326395
rusher::Anthony Hitchens,0.06867135261129148
rusher::Anthony Levine Sr.,-0.003948867038275082
rusher::Anthony Nelson,-0.2709307989472974
rusher::Anthony Pittman,-0.04906660493913941
rusher::Anthony Rush,-0.10820240954502824
rusher::Anthony Walker Jr.,0.13990825417829983
rusher::Antwaun Woods,-0.015930483464182497
rusher::Arden Key,-0.21622467708882162
rusher::Arik Armstead,-0.2534291897628632
rusher::Armon Watts,-0.012930525821669321
rusher::Austin Bryant,-0.050439145919746776
rusher::Austin Calitro,0.03614631805142111
rusher::Austin Faoliu,-0.030101087155474413
rusher::Austin Johnson,0.09310001800762426
rusher::Azeez Al-Shaair,0.19653444055892028
rusher::Azeez Ojulari,-0.2619658770409052
rusher::Azur Kamara,0.03558267872061646
rusher::B.J. Hill,-0.12954064156575507
rusher::Baron Browning,-0.2680231366676834
rusher::Ben Banogu,-0.23979869919114977
rusher::Ben Niemann,0.024448341087813297
