player_name,role,mean_score,sd_score,q025,q25,q50,q75,q975,n_boot,observed_score,played_this_week,week_index,week_label,week_num,week_source,cumulative_games,cumulative_rows,iterations,fixed_lambda,bootstrap_scope
Trent Brown,Blocker,0.7982996417726373,0.5859207639927048,0,0,0.9301452914445244,1.3061799181468066,1.7732911263128044,100,0.9315362648080411,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Garett Bolles,Blocker,0.7473736499632283,0.5285940168485246,0,0,1.0748779095102163,1.138244961910934,1.1992011867886614,100,1.090169160944741,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Matt Hennessy,Blocker,0.6965992221914444,0.4199952936006962,0,0,0.889751718185543,0.9977944696419188,1.0568934369128684,100,0.889622341429215,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Larry Borom,Blocker,0.6835913672412344,0.5173652127377912,0,0,0.9217374060964821,1.1450782457697146,1.2950140272322395,100,0.9288063686948629,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Mitch Morse,Blocker,0.6496204722027246,0.42054999126189974,0,0,0.8704887107083104,0.908175412477636,1.0329773471190928,100,0.8726992924141564,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Joe Thuney,Blocker,0.5430856849076598,0.3589781317746258,0,0,0.7512004901925609,0.7922822520304497,0.847346327318848,100,0.7572261444292001,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Netane Muti,Blocker,0.5292972349294468,0.41121347718122364,0,0,0.6101408763316025,0.921145810603569,1.1670428809344964,100,0.6140001068075686,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Nate Solder,Blocker,0.5035463786058514,0.36071742620556974,0,0,0.6817883175824758,0.7957337409194604,0.888246291323342,100,0.6980858180697781,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Ben Bredeson,Blocker,0.5029101337560867,0.35678618390444283,0,0,0.7103584991553098,0.770948838287416,0.8349114138155322,100,0.725057368542006,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Trey Smith,Blocker,0.4573746421035721,0.30266561778245266,0,0,0.6259905668867798,0.6682997526068928,0.7190752337999262,100,0.6351350318905763,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Chase Roullier,Blocker,0.4426821448668669,0.3210358113222105,0,0,0.6357628369505259,0.6789097125757799,0.7539289528867643,100,0.6554749598591243,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
Trey Pipkins III,Blocker,0.43475879240115434,0.33759034325685233,0,0,0.5408657553777496,0.5742850442549124,0.9386797710061612,100,0.5474403292159223,TRUE,1,01,1,lookup,15,9366,100,1.039457465372263e-4,weekly_cumulative_refit
