player_name,role,bt_logit_score,elo_like_score,coefficient_source
Jordan Mills,Blocker,0.8554832662887389,1148.6748267921323,lambda.min
Erik McCoy,Blocker,0.7004981609229533,1121.7511563771104,lambda.min
Jeremiah Owusu-Koramoah,Rusher,0.6570103360932097,1114.1965474356973,lambda.min
Calvin Throckmorton,Blocker,0.6455169866381791,1112.199948136935,lambda.min
Troy Reeder,Rusher,0.6100293374692893,1106.0351120530281,lambda.min
Trey Hopkins,Blocker,0.578806555905907,1100.611159355969,lambda.min
Jermaine Carter Jr.,Rusher,0.5668716932278113,1098.537861354621,lambda.min
Will Clapp,Blocker,0.564350016221572,1098.0998011910403,lambda.min
Chase Roullier,Blocker,0.5389687651159438,1093.6906262714501,lambda.min
Josh Allen,Rusher,0.5118681498804171,1088.9827672102613,lambda.min
Adam Gotsis,Rusher,0.5068569842270801,1088.1122385738022,lambda.min
Patrick Queen,Rusher,0.4870453916923475,1084.6706124475822,lambda.min
Tae Crowder,Rusher,0.48632105586582947,1084.5447824265816,lambda.min
Taven Bryan,Rusher,0.47529032430461204,1082.6285480872245,lambda.min
Vita Vea,Rusher,0.4625527094543524,1080.415797750394,lambda.min
Ben Cleveland,Blocker,0.4467306235793876,1077.6672199153152,lambda.min
Darius Philon,Rusher,0.4417589340233972,1076.8035489793542,lambda.min
Kamu Grugier-Hill,Rusher,0.4392613199106429,1076.369668968517,lambda.min
Jay Tufele,Rusher,0.43691762354961283,1075.9625272097762,lambda.min
Myles Garrett,Rusher,0.43679780535663987,1075.9417126577603,lambda.min
Zack Martin,Blocker,0.4288890564084618,1074.5678222469794,lambda.min
Aaron Donald,Rusher,0.4222614150703985,1073.4164830225177,lambda.min
Mason Cole,Blocker,0.41982806697262637,1072.9937671619527,lambda.min
Davon Hamilton,Rusher,0.41927688569903687,1072.8980171676933,lambda.min
B.J. Finney,Blocker,0.4187496068784793,1072.8064194548163,lambda.min
Joe Thuney,Blocker,0.41736251291582244,1072.5654565532711,lambda.min
Christian Kirksey,Rusher,0.4036112265567393,1070.1766134393426,lambda.min
Tyler Biadasz,Blocker,0.4026833818683064,1070.0154303080426,lambda.min
Folorunso Fatukasi,Rusher,0.3991946906490681,1069.409382569811,lambda.min
Kevin Zeitler,Blocker,0.39531371508278673,1068.735188060676,lambda.min
Roy Robertson-Harris,Rusher,0.394546427625796,1068.6018965772341,lambda.min
Maurice Hurst,Rusher,0.3938115102433376,1068.4742283516914,lambda.min
Ben Powers,Blocker,0.3919381545321838,1068.148793132493,lambda.min
"David Long, Jr.",Rusher,0.38355606249899143,1066.6926746057648,lambda.min
Quinnen Williams,Rusher,0.38126518200281573,1066.2947079024893,lambda.min
Derick Roberson,Rusher,0.3801449894127854,1066.1001105182816,lambda.min
Robert Quinn,Rusher,0.37717217908725753,1065.583680470233,lambda.min
Daquan Jones,Rusher,0.3755340291070483,1065.299104671459,lambda.min
Cole Toner,Blocker,0.3740853219659378,1065.0474384645477,lambda.min
Matt Milano,Rusher,0.3724902503866008,1064.770346150489,lambda.min
Brandon Linder,Blocker,0.3675250384665464,1063.907800495145,lambda.min
Michael Schofield III,Blocker,0.3660425495293827,1063.6502657891879,lambda.min
Gabe Jackson,Blocker,0.3566448548179318,1062.0177190068703,lambda.min
Mitch Morse,Blocker,0.3475630084412734,1060.4400407001199,lambda.min
Michael Dwumfour,Rusher,0.3458004947899946,1060.133860718908,lambda.min
Cody Barton,Rusher,0.34536264834698166,1060.0577990012594,lambda.min
Alex Singleton,Rusher,0.34345395130580003,1059.7262243642153,lambda.min
Tim Settle,Rusher,0.342293727387572,1059.524672826032,lambda.min
Saahdiq Charles,Blocker,0.33992668191562403,1059.1134749112796,lambda.min
Nathan Shepherd,Rusher,0.33982975251028313,1059.09663654893,lambda.min
D.J. Jones,Rusher,0.3393602907803683,1059.0150826934232,lambda.min
T.J. Watt,Rusher,0.3384768544960211,1058.8616140920612,lambda.min
Zach Kerr,Rusher,0.336446649184067,1058.5089313064163,lambda.min
Micah Parsons,Rusher,0.33549213148303586,1058.3431145982415,lambda.min
Malcom Brown,Rusher,0.33259176374642957,1057.8392691168422,lambda.min
Tyler Larsen,Blocker,0.33153716374203757,1057.6560663318332,lambda.min
Rakeem Nunez-Roches,Rusher,0.32994041775355526,1057.3786831431137,lambda.min
J.J. Watt,Rusher,0.3298660304511707,1057.365760745134,lambda.min
J.C. Tretter,Blocker,0.3211151027863657,1055.8455689065902,lambda.min
Joel Bitonio,Blocker,0.3209131409001622,1055.810484533497,lambda.min
Ereck Flowers Sr.,Blocker,0.31262835376853493,1054.3712695994934,lambda.min
Ali Marpet,Blocker,0.31162518323981503,1054.197001029481,lambda.min
Jonathan Marshall,Rusher,0.3085773194182212,1053.6675328537567,lambda.min
Jadeveon Clowney,Rusher,0.3031322252869212,1052.7216231198897,lambda.min
Milton Williams,Rusher,0.29984900275273774,1052.1512689481074,lambda.min
Dalton Risner,Blocker,0.2987548417989821,1051.9611937222953,lambda.min
Tremaine Edmunds,Rusher,0.2983458058532016,1051.8901369006342,lambda.min
Nick Harris,Blocker,0.2967491174393771,1051.6127637136572,lambda.min
Jacob Martin,Rusher,0.2956523025641452,1051.422227454464,lambda.min
Andrew Norwell,Blocker,0.2889308825552519,1050.2545972062976,lambda.min
Garret Wallow,Rusher,0.2866489040996691,1049.858176945865,lambda.min
Josh Bynes,Rusher,0.28365003828758445,1049.337220596202,lambda.min
Jonathan Bostic,Rusher,0.28333427883269285,1049.2823675606548,lambda.min
Grady Jarrett,Rusher,0.2812852042326943,1048.92640684394,lambda.min
David Moa,Rusher,0.280502097785841,1048.7903673204953,lambda.min
Cesar Ruiz,Blocker,0.2802234472683565,1048.741960767646,lambda.min
Zach Cunningham,Rusher,0.2793559704646398,1048.5912646120328,lambda.min
Matt Hennessy,Blocker,0.2793063482480136,1048.5826443500887,lambda.min
Will Hernandez,Blocker,0.27923435659637563,1048.570138119269,lambda.min
Frank Ragnow,Blocker,0.27865925704039574,1048.470233093786,lambda.min
Bryan Mone,Rusher,0.27753003931991194,1048.2740678838366,lambda.min
Kevin Dotson,Blocker,0.2754652523084794,1047.9153776416883,lambda.min
Corey Linsley,Blocker,0.2724556286118381,1047.3925524560657,lambda.min
Aaron James Klein,Rusher,0.27242314151052965,1047.3869088685333,lambda.min
Eli Ankou,Rusher,0.27162911360124126,1047.2489720927408,lambda.min
Khalil Mack,Rusher,0.2677639516896266,1046.57752469679,lambda.min
Maliek Collins,Rusher,0.2670253344406036,1046.4492137385944,lambda.min
Jabari Zuniga,Rusher,0.2660439655949873,1046.278732508849,lambda.min
Breiden Fehoko,Rusher,0.2656067032131575,1046.2027722530202,lambda.min
Keith Ismael,Blocker,0.2646669174171298,1046.0395147388658,lambda.min
Dre'Mont Jones,Rusher,0.2634501692609273,1045.8281439348239,lambda.min
James Carpenter,Blocker,0.2632709465936744,1045.797009768656,lambda.min
Tyrel Dodson,Rusher,0.2605083293646634,1045.3170940013879,lambda.min
Mike Purcell,Rusher,0.25293229909751525,1044.001002745486,lambda.min
Jerry Hughes,Rusher,0.2505639479522039,1043.5895780120388,lambda.min
Elijah Wilkinson,Blocker,0.25041512086729456,1043.5637240993453,lambda.min
Jonathan Allen,Rusher,0.2476570511201343,1043.084598310587,lambda.min
J.C. Hassenauer,Blocker,0.24642607622922796,1042.870756069594,lambda.min
Kyle Peko,Rusher,0.2437428601150459,1042.4046336887368,lambda.min
Joshua Kaindoh,Rusher,0.24354293138233546,1042.3699025105807,lambda.min
Matt Paradis,Blocker,0.24163346386308582,1042.0381940277873,lambda.min
Ryan Ramczyk,Blocker,0.24124573263951618,1041.9708382154442,lambda.min
Genard Avery,Rusher,0.23921800971066057,1041.6185866639119,lambda.min
Lloyd Cushenberry III,Blocker,0.23804713414110298,1041.4151847443702,lambda.min
Josh Sweat,Rusher,0.23768563145491842,1041.352385295649,lambda.min
Xavier Su'A-Filo,Blocker,0.23691974094877719,1041.2193364874252,lambda.min
Donovan Smith,Blocker,0.2360360601994023,1041.0658254181383,lambda.min
Jordyn Brooks,Rusher,0.2359526331993307,1041.051332663829,lambda.min
Alejandro Villanueva,Blocker,0.23264711213329192,1040.4771048403109,lambda.min
Roquan Smith,Rusher,0.23148288237312437,1040.2748574161076,lambda.min
Micah Kiser,Rusher,0.23101425411384735,1040.1934483492803,lambda.min
Josh Woods,Rusher,0.2309625818141592,1040.1844719514315,lambda.min
Sheldon Rankins,Rusher,0.22947182307925343,1039.9255006344642,lambda.min
Chris Jones,Rusher,0.22772504966990845,1039.6220550133387,lambda.min
Derrick Brown,Rusher,0.2251508104568153,1039.1748638592005,lambda.min
Jordan Hicks,Rusher,0.22279428055937325,1038.7654926868408,lambda.min
Larrell Murchison,Rusher,0.2227445051033994,1038.7568458044952,lambda.min
Larry Borom,Blocker,0.21784440533567817,1037.9056112885366,lambda.min
Tershawn Wharton,Rusher,0.2168811958738585,1037.7382846668625,lambda.min
Tommy Kraemer,Blocker,0.21510506381717917,1037.4297389263236,lambda.min
Ndamukong Suh,Rusher,0.21360665200322607,1037.1694381333562,lambda.min
Azeez Al-Shaair,Rusher,0.21312167189418368,1037.0851884592803,lambda.min
Malik Mcdowell,Rusher,0.21190385839732004,1036.8736325866103,lambda.min
Evan Brown,Blocker,0.21141261604335732,1036.788295049169,lambda.min
Malcolm Roach,Rusher,0.2096901615332614,1036.4890740535434,lambda.min
Rodney Hudson,Blocker,0.20869891147889466,1036.3168762820242,lambda.min
Montravius Adams,Rusher,0.20707031747720112,1036.0339605267457,lambda.min
Darrell Taylor,Rusher,0.20510654549349822,1035.6928183922503,lambda.min
Duke Riley,Rusher,0.20155934955471103,1035.0766073432724,lambda.min
Zack Baun,Rusher,0.19941497563282978,1034.7040914387082,lambda.min
Bobby Wagner,Rusher,0.19889615733587052,1034.6139634693163,lambda.min
L.J. Collier,Rusher,0.19808928866463862,1034.4737960247016,lambda.min
Jalen Reeves-Maybin,Rusher,0.19798237796803725,1034.4552237344656,lambda.min
Cole Holcomb,Rusher,0.197561293530881,1034.3820738754766,lambda.min
Fred Warner,Rusher,0.19662139692474648,1034.218797111635,lambda.min
Poona Ford,Rusher,0.1964974763513807,1034.1972699031523,lambda.min
Bryce Huff,Rusher,0.19601119098542552,1034.1127934827264,lambda.min
Pete Werner,Rusher,0.19534540166626108,1033.997134031757,lambda.min
Andrew Whitworth,Blocker,0.19487811740356403,1033.9159584410493,lambda.min
Andre Dillard,Blocker,0.19358930767399887,1033.69206925954,lambda.min
Javon Hargrave,Rusher,0.19334928130234186,1033.6503724080512,lambda.min
Elandon Roberts,Rusher,0.19168396372369537,1033.361077114042,lambda.min
Greg Van Roten,Blocker,0.19143579819955522,1033.317966346949,lambda.min
Tristan Wirfs,Blocker,0.1905688623584884,1033.1673641661732,lambda.min
James Daniels,Blocker,0.18973427715933963,1033.0223818675058,lambda.min
Kevin Givens,Rusher,0.18664160106228447,1032.4851290021998,lambda.min
Mike Daniels,Rusher,0.18390168493138745,1032.0091568195894,lambda.min
Sam Mustipher,Blocker,0.18335002601096012,1031.9133238495756,lambda.min
Kenneth Murray Jr.,Rusher,0.1811470698475137,1031.5306311673119,lambda.min
Alex Highsmith,Rusher,0.1809691485450617,1031.4997230713645,lambda.min
Tyler Shatley,Blocker,0.18015026734260117,1031.3574688363394,lambda.min
Danielle Hunter,Rusher,0.1791348721664755,1031.1810766275623,lambda.min
Brandon Brooks,Blocker,0.17904898053658558,1031.1661557232012,lambda.min
Lawrence Guy,Rusher,0.17800386642157898,1030.9846008059587,lambda.min
Star Lotulelei,Rusher,0.1775711341530856,1030.9094275114194,lambda.min
Eddie Goldman,Rusher,0.17727847354408524,1030.8585871563957,lambda.min
Al Woods,Rusher,0.17716662764139668,1030.839157533051,lambda.min
David Edwards,Blocker,0.17688975882724794,1030.7910604937729,lambda.min
Wyatt Teller,Blocker,0.1752342121069198,1030.5034625717042,lambda.min
Jordan Jenkins,Rusher,0.17434732894687366,1030.3493951867038,lambda.min
Andre James,Blocker,0.17386251991693033,1030.2651752321112,lambda.min
Justin Pugh,Blocker,0.17302195381021437,1030.1191539433828,lambda.min
Dawuane Smoot,Rusher,0.17183101406274692,1029.912266519141,lambda.min
Davon Godchaux,Rusher,0.1711975827800881,1029.8022282348516,lambda.min
David Sharpe,Blocker,0.17037060916509014,1029.6585682037821,lambda.min
Sam Tecklenburg,Blocker,0.17032872352068842,1029.6512919220884,lambda.min
Maxx Crosby,Rusher,0.1676047222026688,1029.1780844256432,lambda.min
Mario Addison,Rusher,0.16745939190181233,1029.152837966557,lambda.min
Drue Tranquill,Rusher,0.16702462060705475,1029.0773104568757,lambda.min
Hassan Ridgeway,Rusher,0.16660000756253457,1029.003547616004,lambda.min
Reggie Ragland,Rusher,0.1663451525230856,1028.9592747610768,lambda.min
John Cominsky,Rusher,0.16626913773276156,1028.9460696394844,lambda.min
Denzel Perryman,Rusher,0.16083306137621833,1028.001726453544,lambda.min
Oday Aboushi,Blocker,0.1591022908162527,1027.7010608120904,lambda.min
Fletcher Cox,Rusher,0.15889407813113768,1027.6648905640075,lambda.min
Landon Dickerson,Blocker,0.15824644793613263,1027.5523856760055,lambda.min
Ed Oliver,Rusher,0.15801443701186052,1027.5120812503444,lambda.min
Lucas Patrick,Blocker,0.1574659929217834,1027.4168067535634,lambda.min
Khyiris Tonga,Rusher,0.15745847117915757,1027.4155000930366,lambda.min
Christian Wilkins,Rusher,0.15673000453495836,1027.2889524755062,lambda.min
Deion Jones,Rusher,0.15385619544650483,1026.7897207038427,lambda.min
Sharif Finch,Rusher,0.15245310500829043,1026.5459789298716,lambda.min
Patrick Mekari,Blocker,0.1500106331594882,1026.121678111416,lambda.min
Darius Leonard,Rusher,0.149552569240257,1026.0421042584235,lambda.min
Joey Bosa,Rusher,0.149536277954808,1026.0392741722742,lambda.min
Vernon Butler,Rusher,0.14872901473044609,1025.8990381867607,lambda.min
Damion Square,Rusher,0.14725027991338488,1025.6421556382613,lambda.min
Anthony Walker Jr.,Rusher,0.1469146808057116,1025.5838561020237,lambda.min
Clelin Ferrell,Rusher,0.14663485112110183,1025.5352447068642,lambda.min
Mike Pennel,Rusher,0.14646674130851153,1025.5060410412796,lambda.min
Alim Mcneill,Rusher,0.14499139689153967,1025.2497474656004,lambda.min
Brennan Scarlett,Rusher,0.14472345738631892,1025.20320160616,lambda.min
Greg Mancz,Blocker,0.14447757009572418,1025.1604866087698,lambda.min
Brent Urban,Rusher,0.1442516395732757,1025.1212384570927,lambda.min
Robert Hunt,Blocker,0.14306253955800793,1024.9146706270678,lambda.min
Jon Feliciano,Blocker,0.14262022096076182,1024.837832016657,lambda.min
Kenny Clark,Rusher,0.14261938324022644,1024.8376864896948,lambda.min
Wes Schweitzer,Blocker,0.14213182503640365,1024.752988954684,lambda.min
Scott Quessenberry,Blocker,0.14208638375682206,1024.7450949958948,lambda.min
Tarron Jackson,Rusher,0.14001484117043966,1024.3852311901774,lambda.min
Creed Humphrey,Blocker,0.14001395306021724,1024.3850769096298,lambda.min
Wes Martin,Blocker,0.136499379832625,1023.7745330060345,lambda.min
Monty Rice,Rusher,0.13506120618912454,1023.5246966550782,lambda.min
Lane Taylor,Blocker,0.13273239214690838,1023.1201402199129,lambda.min
Kendrick Green,Blocker,0.1324989516783612,1023.0795874569757,lambda.min
Nick Gates,Blocker,0.13151462518544355,1022.9085924312695,lambda.min
Anthony Hitchens,Rusher,0.1312091059703657,1022.85551830758,lambda.min
Isaiah Simmons,Rusher,0.13011788313239903,1022.6659534847578,lambda.min
Shaq Thompson,Rusher,0.12999207443368932,1022.6440982753078,lambda.min
Daviyon Nixon,Rusher,0.12973121032940346,1022.5987815389005,lambda.min
Reginald Mckenzie,Rusher,0.1297171749667618,1022.5963433466818,lambda.min
Haason Reddick,Rusher,0.12960165910002297,1022.5762761852831,lambda.min
Jack Driscoll,Blocker,0.12707509494640212,1022.1373670372462,lambda.min
Derrick Barnes,Rusher,0.12589819374673922,1021.9329183585427,lambda.min
Chapelle Russell,Rusher,0.12588803968509316,1021.931154417366,lambda.min
Ernest Jones,Rusher,0.12584816717774958,1021.9242278533984,lambda.min
Kc Mcdermott,Blocker,0.12563424635020848,1021.8870659994122,lambda.min
Odafe Oweh,Rusher,0.1254401047913119,1021.8533401563175,lambda.min
Johnathan Hankins,Rusher,0.12507560361273085,1021.7900198161155,lambda.min
Damien Wilson,Rusher,0.12406684505487904,1021.6147805060164,lambda.min
Mike Remmers,Blocker,0.12388819639695367,1021.5837460554818,lambda.min
Noah Spence,Rusher,0.12314810105128979,1021.4551783256002,lambda.min
Zaven Collins,Rusher,0.122761702130536,1021.3880539579615,lambda.min
Angelo Blackson,Rusher,0.12273496140063603,1021.3834086173864,lambda.min
Isaac Seumalo,Blocker,0.12227466395649422,1021.3034467613764,lambda.min
Justin Madubuike,Rusher,0.12124080374073624,1021.1238468466713,lambda.min
Kentavius Street,Rusher,0.12030508003664259,1020.9612949901617,lambda.min
Rashaan Evans,Rusher,0.12026294787856434,1020.9539758846561,lambda.min
Marcus Davenport,Rusher,0.12018244899706451,1020.9399917966422,lambda.min
Alijah Vera-Tucker,Blocker,0.117689381490752,1020.5069016122407,lambda.min
Carl Davis Jr.,Rusher,0.11647613531839045,1020.2961391651019,lambda.min
Greg Rousseau,Rusher,0.11564498265814512,1020.1517531595164,lambda.min
Calais Campbell,Rusher,0.11487547750073016,1020.0180764220519,lambda.min
Damien Lewis,Blocker,0.11383419920681012,1019.8371878551818,lambda.min
Malik Harrison,Rusher,0.11187962543544695,1019.4976436138314,lambda.min
Andrus Peat,Blocker,0.1116502402129612,1019.4577953192892,lambda.min
David Andrews,Blocker,0.11151416962884343,1019.4341574377564,lambda.min
Bobby Evans,Blocker,0.10946320873212138,1019.0778690377382,lambda.min
Daniel Ekuale,Rusher,0.1092125521514802,1019.0343255298081,lambda.min
Sione Takitaki,Rusher,0.1092026134480698,1019.0325990001887,lambda.min
Halapoulivaati Vaitai,Blocker,0.108619792338489,1018.9313526034576,lambda.min
Osa Odighizuwa,Rusher,0.10792781811778954,1018.8111443691901,lambda.min
Garrett Bradbury,Blocker,0.10625977974124073,1018.5213764241748,lambda.min
Jonathan Greenard,Rusher,0.10558445865230906,1018.4040611352004,lambda.min
Linval Joseph,Rusher,0.10540585462567931,1018.3730344379161,lambda.min
Quinton Spain,Blocker,0.10504403301242556,1018.3101795858882,lambda.min
Frankie Luvu,Rusher,0.10412857675412285,1018.1511485453265,lambda.min
T.J. Slaton,Rusher,0.10363477410482506,1018.0653662390307,lambda.min
Alton Robinson,Rusher,0.10285479668364075,1017.929870283019,lambda.min
Javon Kinlaw,Rusher,0.10279172888872735,1017.9189142848923,lambda.min
Trai Turner,Blocker,0.10174708595525413,1017.7374412202656,lambda.min
Bradley Bozeman,Blocker,0.09994788544788098,1017.4248880793897,lambda.min
Patrick O'Connor,Rusher,0.09859036159229644,1017.1890620315768,lambda.min
Justin Hamilton,Rusher,0.0982261818681073,1017.1257975337222,lambda.min
Dre Greenlaw,Rusher,0.09818038321760711,1017.1178414932459,lambda.min
Anthony Barr,Rusher,0.09799566661571853,1017.0857529328795,lambda.min
Phil Hoskins,Rusher,0.09754429713427883,1017.0073420228439,lambda.min
Vincent Taylor,Rusher,0.09656097163364882,1016.8365208873086,lambda.min
Kwon Alexander,Rusher,0.09622728317044843,1016.7785532640115,lambda.min
Graham Glasgow,Blocker,0.09533214646640495,1016.6230520915655,lambda.min
Amen Ogbongbemiga,Rusher,0.09438262846442738,1016.4581039200748,lambda.min
Myles Adams,Rusher,0.09434503298242007,1016.4515729159226,lambda.min
Brandon Scherff,Blocker,0.09414137515555211,1016.4161939277606,lambda.min
Willie Gay,Rusher,0.09397633811980091,1016.387524058186,lambda.min
Demarcus Walker,Rusher,0.09377427932667519,1016.3524228506362,lambda.min
Danny Isidora,Blocker,0.09358525079097398,1016.3195852306453,lambda.min
T.J. Edwards,Rusher,0.09320197706088998,1016.2530037642317,lambda.min
Austin Johnson,Rusher,0.09265982288330887,1016.158821937166,lambda.min
Andrew Dowell,Rusher,0.09251510645104502,1016.1336821179768,lambda.min
Julian Stanford,Rusher,0.09184858645139739,1016.0178957348068,lambda.min
Dylan Cole,Rusher,0.09165940417983894,1015.9850314081621,lambda.min
Alex Cappa,Blocker,0.09088451789221323,1015.8504198726348,lambda.min
Chris Williams,Rusher,0.08940600141274366,1015.59357525326,lambda.min
Trey Hendrickson,Rusher,0.08829058046912963,1015.3998067889357,lambda.min
Ben Jones,Blocker,0.087922128651931,1015.3358001525131,lambda.min
Mario Edwards Jr.,Rusher,0.08768065103291785,1015.2938511935369,lambda.min
Justin Hollins,Rusher,0.08763310859803071,1015.2855922266858,lambda.min
Efe Obada,Rusher,0.08737374927635036,1015.2405368977913,lambda.min
Jonah Jackson,Blocker,0.0873229904201466,1015.2317191813286,lambda.min
Alec Ogletree,Rusher,0.08702798434057807,1015.1804713763348,lambda.min
Kayode Awosika,Blocker,0.08602111682884117,1015.0055605745928,lambda.min
Joe Thomas,Rusher,0.08542493674394896,1014.901993486157,lambda.min
John Simpson,Blocker,0.0848588045349761,1014.8036462484032,lambda.min
James Lynch,Rusher,0.08474496543069387,1014.7838703704774,lambda.min
Deforest Buckner,Rusher,0.08421266441619929,1014.6914002131548,lambda.min
Amani Bledsoe,Rusher,0.08341852470695,1014.55344401572,lambda.min
Trey Smith,Blocker,0.082414808688247,1014.3790806843916,lambda.min
Josh Wells,Blocker,0.08238344456746681,1014.3736321785578,lambda.min
Gerald McCoy,Rusher,0.08203206819516408,1014.3125918507329,lambda.min
E.J. Speed,Rusher,0.08139255911214541,1014.2014977443802,lambda.min
Brandon Graham,Rusher,0.08073578372991466,1014.087404174639,lambda.min
Shaq Mason,Blocker,0.08052254484139147,1014.0503607855939,lambda.min
Daniel Archibong,Rusher,0.07881831439713598,1013.7543056344613,lambda.min
Nick Bolton,Rusher,0.07851423932128232,1013.7014823834502,lambda.min
Tre'Vour Wallace-Simms,Blocker,0.07819028622531586,1013.6452059666607,lambda.min
Benning Potoa'E,Rusher,0.07794063230295568,1013.6018366383141,lambda.min
Jihad Ward,Rusher,0.07792765281514788,1013.599581870341,lambda.min
Sam Eguavoen,Rusher,0.07757104384623321,1013.5376325473823,lambda.min
Caleb Benenoch,Blocker,0.07736273442754293,1013.501445494956,lambda.min
Joe Bachie,Rusher,0.07670185074508587,1013.3866382403676,lambda.min
Tyeler Davison,Rusher,0.07646916856990602,1013.3462172064804,lambda.min
Tytus Howard,Blocker,0.07609408608705745,1013.2810587054565,lambda.min
Malcolm Smith,Rusher,0.07574179002588499,1013.2198586113111,lambda.min
Morgan Fox,Rusher,0.07558308544073385,1013.1922888010777,lambda.min
Yasir Durant,Blocker,0.07547536177927815,1013.1735752843814,lambda.min
Drew Dalman,Blocker,0.07472533370661964,1013.0432820630901,lambda.min
Tyler Lancaster,Rusher,0.07415535332346486,1012.9442663290113,lambda.min
Cody Ford,Blocker,0.07343959731770817,1012.8199267755356,lambda.min
Michael Pierce,Rusher,0.07193976451682717,1012.5593791318555,lambda.min
DeMarcus Lawrence,Rusher,0.07156024564929722,1012.4934499518769,lambda.min
Larry Ogunjobi,Rusher,0.0689391035496457,1012.0381109318117,lambda.min
Ethan Pocic,Blocker,0.06810875403914708,1011.8938644476275,lambda.min
Khaleke Hudson,Rusher,0.06792707040139367,1011.8623027670961,lambda.min
Demario Davis,Rusher,0.06767401801396172,1011.8183430648985,lambda.min
Ty Nsekhe,Blocker,0.06735231349326468,1011.7624572656416,lambda.min
Isaiah Buggs,Rusher,0.06696954552643111,1011.6959636593036,lambda.min
Zach Sieler,Rusher,0.06692872615366437,1011.6888726079646,lambda.min
Ezra Cleveland,Blocker,0.06537053245246245,1011.4181866374972,lambda.min
Matt Ioannidis,Rusher,0.0650574184586864,1011.3637931656158,lambda.min
Chuma Edoga,Blocker,0.06375607076169217,1011.137725916079,lambda.min
Bruce Hector,Rusher,0.06334769122403058,1011.0667831241875,lambda.min
Aaron Stinnie,Blocker,0.0633102992580916,1011.0602874743976,lambda.min
Jamir Jones,Rusher,0.06190503594458362,1010.8161682333266,lambda.min
Brian Allen,Blocker,0.06175485212480829,1010.7900786316468,lambda.min
Matt Feiler,Blocker,0.05929360226838639,1010.362515739155,lambda.min
Rob Havenstein,Blocker,0.0584794524826752,1010.2210834354042,lambda.min
Tanner Vallejo,Rusher,0.05761314093054569,1010.0705897047246,lambda.min
Mekhi Becton,Blocker,0.05732275032719463,1010.0201436900719,lambda.min
Roy Lopez,Rusher,0.056894414703507624,1009.945734170964,lambda.min
Robert Nkemdiche,Rusher,0.055921004789407515,1009.7766355492345,lambda.min
Cody Whitehair,Blocker,0.0554981067924753,1009.7031706426443,lambda.min
Za'Darius Smith,Rusher,0.05428796328078653,1009.4929471828693,lambda.min
Jacoby Stevens,Rusher,0.05194425050975816,1009.0858025734198,lambda.min
Jake Hanson,Blocker,0.051587156923599393,1009.023769063823,lambda.min
Kyle Murphy,Blocker,0.04967328390198576,1008.6912952668829,lambda.min
Xavier Williams,Rusher,0.04963483306086839,1008.6846156716342,lambda.min
Laurent Duvernay-Tardif,Blocker,0.04933893340033645,1008.6332126357278,lambda.min
Darryl Johnson,Rusher,0.04932824073363579,1008.6313551292698,lambda.min
Raequan Williams,Rusher,0.04917952845881035,1008.6055211611306,lambda.min
Benardrick Mckinney,Rusher,0.048918536633078075,1008.5601822372357,lambda.min
Sheldon Day,Rusher,0.04810726733411324,1008.4192503252845,lambda.min
Quinton Bohanna,Rusher,0.04766088748135988,1008.3417062025311,lambda.min
Yetur Gross-Matos,Rusher,0.0475796179930325,1008.3275882464,lambda.min
Noah Dawkins,Rusher,0.0468489134270512,1008.2006518620371,lambda.min
Carter Coughlin,Rusher,0.04653746861599857,1008.1465483568941,lambda.min
Solomon Thomas,Rusher,0.04636220505100812,1008.1161019572324,lambda.min
Ryan Kerrigan,Rusher,0.046148558886383834,1008.0789878170821,lambda.min
Jermaine Johnson II,Rusher,0.04588911225043195,1008.0339173201452,lambda.min
Derrick Kelly,Blocker,0.04555349254133258,1007.9756142050732,lambda.min
Aaron Banks,Blocker,0.04542774446472112,1007.9537695267603,lambda.min
Hardy Nickerson,Rusher,0.04485763889252031,1007.8547320451166,lambda.min
Calvin Munson,Rusher,0.043780439957504934,1007.667603423761,lambda.min
Jamil Douglas,Blocker,0.04351835087795246,1007.6220738873542,lambda.min
Austin Schlottmann,Blocker,0.04284853719247916,1007.5057153323525,lambda.min
Woodrow Hamilton,Rusher,0.042462589769167294,1007.4386693978529,lambda.min
Olisaemeka Udoh,Blocker,0.04241327892157151,1007.4301032262493,lambda.min
Dorian O'Daniel,Rusher,0.04217376532744746,1007.3884954533418,lambda.min
Billy Turner,Blocker,0.04142261823673734,1007.2580078387045,lambda.min
Del'Shawn Phillips,Rusher,0.04122930103367101,1007.2244252008851,lambda.min
Brett Toth,Blocker,0.03974963182948144,1006.9673803327164,lambda.min
