player_name,role,bt_logit_score,coefficient_source
Trey Hopkins,Blocker,1.5012203501287016e-4,lambda.min
Joe Thuney,Blocker,1.4515767983713608e-4,lambda.min
Aaron Donald,Rusher,1.3731333600696993e-4,lambda.min
Kevin Zeitler,Blocker,1.224237069754138e-4,lambda.min
Roy Robertson-Harris,Rusher,1.1392930857734549e-4,lambda.min
Josh Allen,Rusher,1.0837638062674779e-4,lambda.min
Folorunso Fatukasi,Rusher,1.0515142639862742e-4,lambda.min
Alijah Vera-Tucker,Blocker,1.0201378794982358e-4,lambda.min
Kendrick Green,Blocker,9.90014610176099e-5,lambda.min
Tyler Biadasz,Blocker,9.680296154268545e-5,lambda.min
Zack Martin,Blocker,9.078076259329523e-5,lambda.min
Ben Jones,Blocker,9.036807063104925e-5,lambda.min
J.C. Tretter,Blocker,8.463830438196151e-5,lambda.min
Maxx Crosby,Rusher,8.286987371979418e-5,lambda.min
Chris Jones,Rusher,8.276543279730784e-5,lambda.min
Trent Williams,Blocker,8.206603896840325e-5,lambda.min
Dalton Risner,Blocker,7.866035811854507e-5,lambda.min
Joey Bosa,Rusher,7.826864757982539e-5,lambda.min
Alex Mack,Blocker,7.678785180295766e-5,lambda.min
Gabe Jackson,Blocker,7.541084993718748e-5,lambda.min
Calvin Throckmorton,Blocker,7.383252597633088e-5,lambda.min
James Daniels,Blocker,7.193232144165707e-5,lambda.min
Dre'Mont Jones,Rusher,7.110588979662778e-5,lambda.min
Ethan Pocic,Blocker,6.912892941358793e-5,lambda.min
Cody Whitehair,Blocker,6.910500615430785e-5,lambda.min
Denico Autry,Rusher,6.89120162338003e-5,lambda.min
Robert Quinn,Rusher,6.884184722178397e-5,lambda.min
Daniel Brunskill,Blocker,6.65429080306693e-5,lambda.min
Dawuane Smoot,Rusher,6.52405676138463e-5,lambda.min
Ben Powers,Blocker,6.516976760779723e-5,lambda.min
Will Hernandez,Blocker,6.248756008259142e-5,lambda.min
Maliek Collins,Rusher,6.211223083294177e-5,lambda.min
Joel Bitonio,Blocker,6.0683098448735934e-5,lambda.min
Nathan Shepherd,Rusher,6.0564667929911505e-5,lambda.min
Trey Hendrickson,Rusher,6.021581515426766e-5,lambda.min
Quinton Spain,Blocker,5.970560336585289e-5,lambda.min
Jordan Jenkins,Rusher,5.929364279699949e-5,lambda.min
Alejandro Villanueva,Blocker,5.859693518639545e-5,lambda.min
Kevin Dotson,Blocker,5.842289921281454e-5,lambda.min
Myles Garrett,Rusher,5.771827161133541e-5,lambda.min
Fletcher Cox,Rusher,5.753033965307198e-5,lambda.min
Creed Humphrey,Blocker,5.521876180149282e-5,lambda.min
Grady Jarrett,Rusher,5.472252020856186e-5,lambda.min
Matt Ioannidis,Rusher,5.1452912695769596e-5,lambda.min
Garrett Bradbury,Blocker,5.1410235558137385e-5,lambda.min
Greg Van Roten,Blocker,5.1147052496527365e-5,lambda.min
Matt Hennessy,Blocker,5.084662380299013e-5,lambda.min
Bryce Huff,Rusher,5.0657374770512935e-5,lambda.min
T.J. Watt,Rusher,4.975520484206292e-5,lambda.min
Ryan Jensen,Blocker,4.971716262966973e-5,lambda.min
Tershawn Wharton,Rusher,4.9455255654404486e-5,lambda.min
Christian Wilkins,Rusher,4.935781658552331e-5,lambda.min
Brian Allen,Blocker,4.7914481428080793e-5,lambda.min
Davon Hamilton,Rusher,4.7820898118515586e-5,lambda.min
Dexter Lawrence,Rusher,4.753923706986345e-5,lambda.min
Charles Harris,Rusher,4.7509213597811756e-5,lambda.min
Jonathan Greenard,Rusher,4.728700921919602e-5,lambda.min
Odafe Oweh,Rusher,4.694615006184021e-5,lambda.min
Chase Roullier,Blocker,4.530435453553364e-5,lambda.min
Al-Quadin Muhammad,Rusher,4.5265234554838315e-5,lambda.min
Nick Bosa,Rusher,4.5022746361643005e-5,lambda.min
Mason Cole,Blocker,4.4851391345355056e-5,lambda.min
D.J. Jones,Rusher,4.4624243528575206e-5,lambda.min
Jason Peters,Blocker,4.456700188362395e-5,lambda.min
Brian O'Neill,Blocker,4.411179979059889e-5,lambda.min
Cesar Ruiz,Blocker,4.373342991649596e-5,lambda.min
Deforest Buckner,Rusher,4.222217541705744e-5,lambda.min
Charles Omenihu,Rusher,4.188016265242936e-5,lambda.min
Alex Highsmith,Rusher,4.146460444717264e-5,lambda.min
Bradley Bozeman,Blocker,4.128712961607528e-5,lambda.min
Poona Ford,Rusher,4.125689959719155e-5,lambda.min
Daron Payne,Rusher,4.065865453371315e-5,lambda.min
J.C. Hassenauer,Blocker,4.0017821121481796e-5,lambda.min
David Andrews,Blocker,3.982126657080233e-5,lambda.min
Zach Sieler,Rusher,3.9045670769279e-5,lambda.min
Jacob Martin,Rusher,3.8867117300432604e-5,lambda.min
Broderick Washington,Rusher,3.8609814783735906e-5,lambda.min
J.J. Watt,Rusher,3.857185284539302e-5,lambda.min
Andre James,Blocker,3.812070989124842e-5,lambda.min
Arik Armstead,Rusher,3.774543528975139e-5,lambda.min
Austin Bryant,Rusher,3.69374249511799e-5,lambda.min
Wyatt Teller,Blocker,3.690906089311925e-5,lambda.min
Ben Cleveland,Blocker,3.617411787280682e-5,lambda.min
Laken Tomlinson,Blocker,3.609032688960822e-5,lambda.min
Jermaine Eluemunor,Blocker,3.562268777968018e-5,lambda.min
Michael Dwumfour,Rusher,3.536455401561964e-5,lambda.min
Andrew Whitworth,Blocker,3.513386559960803e-5,lambda.min
Javon Hargrave,Rusher,3.4812198427405744e-5,lambda.min
Deatrich Wise Jr.,Rusher,3.41204553769885e-5,lambda.min
Corey Linsley,Blocker,3.3915412706806e-5,lambda.min
Michael Schofield III,Blocker,3.3517395219344235e-5,lambda.min
Mike Onwenu,Blocker,3.2812360883693816e-5,lambda.min
Vernon Butler,Rusher,3.220947275342212e-5,lambda.min
Andrew Thomas,Blocker,3.1747635780513176e-5,lambda.min
Demarcus Walker,Rusher,3.151485681178274e-5,lambda.min
Larrell Murchison,Rusher,3.0974495898093793e-5,lambda.min
Danielle Hunter,Rusher,3.088911113357298e-5,lambda.min
Christian Barmore,Rusher,3.0825351419933284e-5,lambda.min
Nate Davis,Blocker,2.9820610720504004e-5,lambda.min
Calais Campbell,Rusher,2.9787585139675582e-5,lambda.min
Quinton Bohanna,Rusher,2.9736409849971593e-5,lambda.min
Jonathan Garvin,Rusher,2.9655848330470788e-5,lambda.min
Preston Smith,Rusher,2.9105182133666103e-5,lambda.min
Brandon Copeland,Rusher,2.8863218383112552e-5,lambda.min
Uchenna Nwosu,Rusher,2.876245202369888e-5,lambda.min
Ryan Ramczyk,Blocker,2.8635385667889646e-5,lambda.min
Clelin Ferrell,Rusher,2.8405498695351626e-5,lambda.min
Derek Barnett,Rusher,2.810080385249269e-5,lambda.min
Raekwon Davis,Rusher,2.7709556936271337e-5,lambda.min
David Edwards,Blocker,2.7586874840042287e-5,lambda.min
Frank Clark,Rusher,2.753287755784793e-5,lambda.min
Tyus Bowser,Rusher,2.741567681617372e-5,lambda.min
Alton Robinson,Rusher,2.718874307627264e-5,lambda.min
Larry Borom,Blocker,2.7166244067588402e-5,lambda.min
Germain Ifedi,Blocker,2.6944339996698586e-5,lambda.min
Jonah Williams,Blocker,2.6814426894864704e-5,lambda.min
Malcolm Roach,Rusher,2.6355843887836754e-5,lambda.min
Erik McCoy,Blocker,2.5983590574205196e-5,lambda.min
Marquise Copeland,Rusher,2.5928678064580717e-5,lambda.min
Sean Harlow,Blocker,2.5401073166275545e-5,lambda.min
Tim Ward,Rusher,2.504518871619273e-5,lambda.min
Josh Myers,Blocker,2.497543776487839e-5,lambda.min
Khalil Mack,Rusher,2.481448694187879e-5,lambda.min
Mike Mcglinchey,Blocker,2.3340614328551757e-5,lambda.min
Zach Kerr,Rusher,2.2891873511988448e-5,lambda.min
Alim Mcneill,Rusher,2.264638705354111e-5,lambda.min
Tarron Jackson,Rusher,2.2240548064336394e-5,lambda.min
Kwity Paye,Rusher,2.2125107577063427e-5,lambda.min
Mike Pennel,Rusher,2.121807033457087e-5,lambda.min
Kentavius Street,Rusher,2.118600985422499e-5,lambda.min
Jonah Jackson,Blocker,2.1069314219286696e-5,lambda.min
Rashod Hill,Blocker,2.089238303958724e-5,lambda.min
Andrew Norwell,Blocker,2.0750063778567645e-5,lambda.min
Taven Bryan,Rusher,2.0731718701225017e-5,lambda.min
Jihad Ward,Rusher,2.063664702450706e-5,lambda.min
Tom Compton,Blocker,2.0543901658473734e-5,lambda.min
Terrell Lewis,Rusher,2.0116056651744604e-5,lambda.min
Jabari Zuniga,Rusher,2.0104610416078953e-5,lambda.min
Neville Gallimore,Rusher,1.941528000631459e-5,lambda.min
John Franklin-Myers,Rusher,1.9210892242287585e-5,lambda.min
Taylor Stallworth,Rusher,1.914560578817003e-5,lambda.min
Robert Hunt,Blocker,1.9068466966885808e-5,lambda.min
Sheldon Rankins,Rusher,1.901829414760125e-5,lambda.min
Jackson Carman,Blocker,1.888961184982364e-5,lambda.min
John Simpson,Blocker,1.8749836203524548e-5,lambda.min
Everson Griffen,Rusher,1.8645295921017252e-5,lambda.min
Joshua Kaindoh,Rusher,1.8640126966194056e-5,lambda.min
Tyeler Davison,Rusher,1.8276668942633866e-5,lambda.min
Adam Gotsis,Rusher,1.814392339587574e-5,lambda.min
Cole Toner,Blocker,1.797193938773909e-5,lambda.min
Alex Cappa,Blocker,1.794601457151822e-5,lambda.min
Tyron Smith,Blocker,1.7918403790801343e-5,lambda.min
Jaylon Moore,Blocker,1.7854247703078578e-5,lambda.min
Marcus Davenport,Rusher,1.774006272621467e-5,lambda.min
Brandon Linder,Blocker,1.7701078403859186e-5,lambda.min
Justin Pugh,Blocker,1.7682246560502417e-5,lambda.min
Dennis Kelly,Blocker,1.762681737024093e-5,lambda.min
Ereck Flowers Sr.,Blocker,1.7462205578620706e-5,lambda.min
Jimmy Morrissey,Blocker,1.7431922561789105e-5,lambda.min
Matt Paradis,Blocker,1.7351562783918226e-5,lambda.min
Tim Settle,Rusher,1.6943761945608953e-5,lambda.min
Darrell Taylor,Rusher,1.6647161231953097e-5,lambda.min
Justin Houston,Rusher,1.640829305028711e-5,lambda.min
Henry Mondeaux,Rusher,1.6383095213533586e-5,lambda.min
Will Clapp,Blocker,1.6174730057086085e-5,lambda.min
Kyle Peko,Rusher,1.6158327698162775e-5,lambda.min
Dan Moore Jr.,Blocker,1.613111939231587e-5,lambda.min
Matt Skura,Blocker,1.574712515394745e-5,lambda.min
Dante Fowler Jr.,Rusher,1.5725494681438918e-5,lambda.min
Micah Parsons,Rusher,1.561175328681634e-5,lambda.min
Oday Aboushi,Blocker,1.5522233132072066e-5,lambda.min
Xavier Su'A-Filo,Blocker,1.5509869405678035e-5,lambda.min
Brandon Graham,Rusher,1.5273751924373888e-5,lambda.min
Solomon Thomas,Rusher,1.5177481266683151e-5,lambda.min
Wes Schweitzer,Blocker,1.507986726260547e-5,lambda.min
Demario Davis,Rusher,1.5040198493994855e-5,lambda.min
Sam Mustipher,Blocker,1.5003704285215959e-5,lambda.min
Quinnen Williams,Rusher,1.4982116018226034e-5,lambda.min
Tyler Larsen,Blocker,1.471517403965354e-5,lambda.min
Josh Uche,Rusher,1.4486348341044006e-5,lambda.min
Justin Hamilton,Rusher,1.4456341468319627e-5,lambda.min
Rodney Hudson,Blocker,1.4233998510544415e-5,lambda.min
Von Miller,Rusher,1.4174940838012351e-5,lambda.min
Chris Wormley,Rusher,1.4089121903521467e-5,lambda.min
Zach Cunningham,Rusher,1.3929107054661034e-5,lambda.min
Tristan Wirfs,Blocker,1.3918956937700389e-5,lambda.min
Kyle Fuller,Blocker,1.3863387131091133e-5,lambda.min
Ezra Cleveland,Blocker,1.381673674803928e-5,lambda.min
Patrick Mekari,Blocker,1.3797569541343422e-5,lambda.min
Brent Urban,Rusher,1.3684627038949338e-5,lambda.min
Pat Elflein,Blocker,1.3617855543570964e-5,lambda.min
Jerry Hughes,Rusher,1.3601703949844345e-5,lambda.min
Romeo Okwara,Rusher,1.3148548674069354e-5,lambda.min
Ben Bredeson,Blocker,1.3041884084439606e-5,lambda.min
Cassius Marsh Sr.,Rusher,1.2806330342701314e-5,lambda.min
Jamir Jones,Rusher,1.2582627365292733e-5,lambda.min
Tarell Basham,Rusher,1.2571797712110008e-5,lambda.min
Carl Davis Jr.,Rusher,1.2562391337911882e-5,lambda.min
Trystan Colon,Blocker,1.2474477371964096e-5,lambda.min
Trent Brown,Blocker,1.2347336184986496e-5,lambda.min
Ali Marpet,Blocker,1.234129323156189e-5,lambda.min
Elgton Jenkins,Blocker,1.2235456594213599e-5,lambda.min
Jordan Mills,Blocker,1.2127663495003723e-5,lambda.min
Will Richardson Jr.,Blocker,1.2028373683610652e-5,lambda.min
Drue Tranquill,Rusher,1.2019152459204156e-5,lambda.min
Nick Bolton,Rusher,1.1905840732277964e-5,lambda.min
Carter Coughlin,Rusher,1.179298687523056e-5,lambda.min
Carlos Dunlap,Rusher,1.1676493628968418e-5,lambda.min
Eddie Goldman,Rusher,1.1659166254924293e-5,lambda.min
Saahdiq Charles,Blocker,1.1465748159212391e-5,lambda.min
Khalen Saunders,Rusher,1.1441493711294997e-5,lambda.min
Mykal Walker,Rusher,1.1231581925721763e-5,lambda.min
Teven Jenkins,Blocker,1.1226502951007431e-5,lambda.min
Armon Watts,Rusher,1.1157430670203576e-5,lambda.min
Brennan Scarlett,Rusher,1.1121954647194812e-5,lambda.min
Mario Addison,Rusher,1.090177726701825e-5,lambda.min
Jeremiah Attaochu,Rusher,1.0896676227022385e-5,lambda.min
Deion Jones,Rusher,1.0895160607936911e-5,lambda.min
Kamu Grugier-Hill,Rusher,1.078462216566485e-5,lambda.min
"David Long, Jr.",Rusher,1000.0018729578459
Rodger Saffold,Blocker,1.0726144682615227e-5,lambda.min
Ladarius Hamilton,Rusher,1.0671689979938105e-5,lambda.min
Nick Harris,Blocker,1.056550755064247e-5,lambda.min
Payton Turner,Rusher,1.0552836394684211e-5,lambda.min
Myles Jack,Rusher,1.044909188697387e-5,lambda.min
Sheldon Day,Rusher,1.0408454648040047e-5,lambda.min
Jordan Hicks,Rusher,1.033068412283664e-5,lambda.min
Joe Haeg,Blocker,1.0225112146260895e-5,lambda.min
Patrick Queen,Rusher,1.0225011750597282e-5,lambda.min
Jake Matthews,Blocker,1.0211267350869663e-5,lambda.min
Charles Leno Jr.,Blocker,1.020553472648248e-5,lambda.min
Shaq Lawson,Rusher,1.0125215097114249e-5,lambda.min
Fred Johnson,Blocker,1.0106303852450628e-5,lambda.min
Kevin Givens,Rusher,1.0066040812270653e-5,lambda.min
Jack Conklin,Blocker,9.88418199193039e-6,lambda.min
Ogbonnia Okoronkwo,Rusher,9.776738081248401e-6,lambda.min
Andre Dillard,Blocker,9.758734380351436e-6,lambda.min
Mike Daniels,Rusher,9.649258947365483e-6,lambda.min
T.J. Slaton,Rusher,9.518054614657385e-6,lambda.min
Shaq Mason,Blocker,9.48207970980392e-6,lambda.min
DeMarcus Lawrence,Rusher,9.427686798661489e-6,lambda.min
Scott Quessenberry,Blocker,9.334574793465688e-6,lambda.min
Jc Tretter,Blocker,9.328959446811722e-6,lambda.min
Brandon Brooks,Blocker,9.220073510674075e-6,lambda.min
Coleman Shelton,Blocker,9.216287474228109e-6,lambda.min
Za'Darius Smith,Rusher,8.984152379414023e-6,lambda.min
Daniel Ekuale,Rusher,8.977159307491114e-6,lambda.min
Ta'Quon Graham,Rusher,8.94649742319052e-6,lambda.min
Bobby Evans,Blocker,8.870075903368367e-6,lambda.min
Keith Ismael,Blocker,8.685738207699544e-6,lambda.min
Netane Muti,Blocker,8.562267253109666e-6,lambda.min
Josh Sweat,Rusher,8.555228126934285e-6,lambda.min
Ty Nsekhe,Blocker,8.528961784736077e-6,lambda.min
Tyler Shatley,Blocker,8.249003197614137e-6,lambda.min
Samson Ebukam,Rusher,8.201711971206685e-6,lambda.min
Stephen Weatherly,Rusher,8.092317231705829e-6,lambda.min
Justin Murray,Blocker,8.08752341189635e-6,lambda.min
Landon Young,Blocker,8.08349272570609e-6,lambda.min
Isaac Rochell,Rusher,8.082643532565674e-6,lambda.min
Ed Oliver,Rusher,8.020441188470178e-6,lambda.min
Gerald McCoy,Rusher,7.971695756470705e-6,lambda.min
Wes Martin,Blocker,7.866881243010092e-6,lambda.min
Quinton Jefferson,Rusher,7.774464522551145e-6,lambda.min
Ryan Kerrigan,Rusher,7.759712276731367e-6,lambda.min
Max Scharping,Blocker,7.682713869056284e-6,lambda.min
Jamin Davis,Rusher,7.416554828559824e-6,lambda.min
Chauncey Golston,Rusher,7.402536953970232e-6,lambda.min
Bobby Brown III,Rusher,7.293413839873172e-6,lambda.min
Billy Price,Blocker,7.1425007992448245e-06,lambda.min
Yannick Ngakoue,Rusher,7.1121260474742345e-6,lambda.min
Conor Mcdermott,Blocker,7.071910615257177e-6,lambda.min
Damion Square,Rusher,7.062212190473841e-6,lambda.min
Chris Williams,Rusher,6.9543335923971335e-6,lambda.min
Matt Milano,Rusher,6.8572981009071035e-6,lambda.min
Woodrow Hamilton,Rusher,6.8488223981139875e-6,lambda.min
Maurice Hurst,Rusher,6.735858665378615e-6,lambda.min
Willie Gay,Rusher,6.629477443974568e-6,lambda.min
Jonathon Cooper,Rusher,6.533349526886562e-6,lambda.min
Chauncey Rivers,Rusher,6.515023554870253e-6,lambda.min
Kayode Awosika,Blocker,6.514186371650855e-6,lambda.min
Derek Rivers,Rusher,6.4040509192931265e-6,lambda.min
Mekhi Becton,Blocker,6.284032191136981e-6,lambda.min
Andrew Billings,Rusher,6.275641387237812e-6,lambda.min
K'Lavon Chaisson,Rusher,6.181767133767322e-6,lambda.min
Jermaine Carter Jr.,Rusher,6.179703443987473e-6,lambda.min
Lane Johnson,Blocker,5.924839883739419e-6,lambda.min
Jordan Mailata,Blocker,5.9158299512405185e-6,lambda.min
Brandin Bryant,Rusher,5.726563610813023e-6,lambda.min
Jesse Davis,Blocker,5.723737176957496e-6,lambda.min
Aaron Brewer,Blocker,5.5227601857120334e-6,lambda.min
B.J. Finney,Blocker,5.513595662775733e-6,lambda.min
Henry Anderson,Rusher,5.385584869501527e-6,lambda.min
Ted Karras,Blocker,5.306848810333656e-6,lambda.min
Zack Baun,Rusher,5.163566290946851e-6,lambda.min
Montravius Adams,Rusher,5.132364253768045e-6,lambda.min
Brian Winters,Blocker,5.05452932806543e-6,lambda.min
Deonte Brown,Blocker,5.054296218734489e-6,lambda.min
Darius Hodges,Rusher,4.942810167557892e-6,lambda.min
Lavonte David,Rusher,4.942795915340228e-6,lambda.min
Jadeveon Clowney,Rusher,4.835529761809651e-6,lambda.min
Rashan Gary,Rusher,4.749611660571951e-6,lambda.min
De'Vondre Campbell,Rusher,4.718387781294862e-6,lambda.min
Sione Takitaki,Rusher,4.607410866758653e-6,lambda.min
Robert Spillane,Rusher,4.603710692224084e-6,lambda.min
Sam Tecklenburg,Blocker,4.3857913852802874e-6,lambda.min
Elijah Wilkinson,Blocker,4.3801197226247046e-6,lambda.min
Kendall Lamm,Blocker,4.378131941102453e-6,lambda.min
Davon Godchaux,Rusher,4.229627617394346e-6,lambda.min
Jeremiah Owusu-Koramoah,Rusher,4.154499579166829e-6,lambda.min
Senio Kelemete,Blocker,4.046363473616441e-6,lambda.min
Daquan Jones,Rusher,3.9754938391742945e-6,lambda.min
Will Bradley-King,Rusher,3.933312942607387e-6,lambda.min
Yasir Durant,Blocker,3.819491354981297e-6,lambda.min
Otito Ogbonnia,Rusher,3.817440298675019e-6,lambda.min
Carlos Watkins,Rusher,3.770312539212051e-6,lambda.min
Matthew Judon,Rusher,3.7176949090272716e-6,lambda.min
Anthony Hitchens,Rusher,3.7110568592918725e-6,lambda.min
Aaron Patrick,Rusher,3.7091439614505583e-6,lambda.min
Jacob Tuioti-Mariner,Rusher,3.708246373318676e-6,lambda.min
Myles Adams,Rusher,3.7024258749392625e-6,lambda.min
Bryan Mone,Rusher,3.6578456039488013e-6,lambda.min
Dee Ford,Rusher,3.5986504368013395e-6,lambda.min
John Cominsky,Rusher,3.5940126528471197e-6,lambda.min
Vince Biegel,Rusher,3.594009544353404e-6,lambda.min
Luke Gifford,Rusher,3.5940090150549996e-06,lambda.min
Jalen Reeves-Maybin,Rusher,3.485169408696119e-6,lambda.min
Elandon Roberts,Rusher,3.484855005108307e-6,lambda.min
Drew Dalman,Blocker,3.4847246703246425e-6,lambda.min
Elerson Smith,Rusher,3.4808836145220294e-6,lambda.min
Nate Solder,Blocker,3.364875734961598e-6,lambda.min
Amani Bledsoe,Rusher,3.253136819619877e-6,lambda.min
Margus Hunt,Rusher,3.2526378799873116e-6,lambda.min
Denzelle Good,Blocker,3.1463566542942272e-6,lambda.min
Kristian Welch,Rusher,3.0327303364070367e-6,lambda.min
Nick Niemann,Rusher,3.0314377220599574e-6,lambda.min
Cody Barton,Rusher,3.0313793019464823e-6,lambda.min
Demone Harris,Rusher,2.8122175719686582e-6,lambda.min
Laurent Duvernay-Tardif,Blocker,2.721210915722903e-6,lambda.min
Riley Reiff,Blocker,2.6880059146779317e-6,lambda.min
Corey Levin,Blocker,2.5844399827220322e-6,lambda.min
Blake Brandel,Blocker,2.582525263992405e-6,lambda.min
Isaiah Simmons,Rusher,2.4768640314853897e-6,lambda.min
Ola Adeniyi,Rusher,2.475966780419438e-6,lambda.min
Curtis Robinson,Rusher,2.4713485930869593e-6,lambda.min
A.J. Epenesa,Rusher,2.370879345691366e-6,lambda.min
Cole Holcomb,Rusher,2.3594372799428146e-6,lambda.min
Brett Toth,Blocker,2.3588581607167273e-6,lambda.min
Alex Bars,Blocker,2.245922893805497e-6,lambda.min
Isaiah Buggs,Rusher,2.2262486884283454e-6,lambda.min
Anthony Nelson,Rusher,2.1361167679939158e-6,lambda.min
Markus Bailey,Rusher,2.13501512668664e-6,lambda.min
Jack Heflin,Rusher,2.132355249769823e-6,lambda.min
Devin White,Rusher,2.132354137331712e-6,lambda.min
Korey Cunningham,Blocker,2.018445232201601e-6,lambda.min
Foyesade Oluokun,Rusher,2.018339151372287e-6,lambda.min
Xavier Williams,Rusher,2.0141865995614536e-6,lambda.min
Garret Wallow,Rusher,1.9100547321669716e-6,lambda.min
Cam Brown,Rusher,1.91001769600211e-6,lambda.min
Delontae Scott,Rusher,1.9099087289202463e-6,lambda.min
Ronnie Stanley,Blocker,1.909465955420864e-6,lambda.min
Christian Jones,Rusher,1.9081583970603337e-6,lambda.min
Isaiah Williams,Blocker,1.6847065522432973e-6,lambda.min
Aj Jackson,Blocker,1.6840410279301705e-6,lambda.min
Robert Hainsey,Blocker,1.6839563888507996e-6,lambda.min
Takkarist Mckinley,Rusher,1.577544937688732e-6,lambda.min
Pete Werner,Rusher,1.5736097273874001e-6,lambda.min
Hamilcar Rashed Jr.,Rusher,1.570604684221234e-6,lambda.min
Kyler Fackrell,Rusher,1.4703435693955984e-6,lambda.min
P.J. Williams,Rusher,1.3487048371091033e-6,lambda.min
Zaire Franklin,Rusher,1.348628513283497e-6,lambda.min
