player_name,final_elo,role
Mykal Walker,760.1093793305115,Rusher
Will Hernandez,1210.0902455484759,Blocker
Ta'Quon Graham,869.9449927881618,Rusher
Nate Solder,1190.6779792434068,Blocker
Adetokunbo Ogundeji,934.3611513152517,Rusher
Andrew Thomas,1064.6359277536371,Blocker
Marlon Davidson,899.212243817503,Rusher
Ben Bredeson,1279.8666840276765,Blocker
Billy Price,1309.493823576515,Blocker
Deion Jones,611.5540626324835,Rusher
Tyeler Davison,973.0799383402847,Rusher
Foyesade Oluokun,521.8533972257138,Rusher
Grady Jarrett,937.0626732573874,Rusher
Jacob Tuioti-Mariner,954.8357811329356,Rusher
Azeez Ojulari,1012.1303307850482,Rusher
Jake Matthews,1126.3836062575788,Blocker
Lorenzo Carter,941.0826732217288,Rusher
Kaleb McGary,1174.0372784919236,Blocker
Dexter Lawrence,962.592552968066,Rusher
Chris Lindstrom,1205.9104595527072,Blocker
Matt Hennessy,1171.9200137584896,Blocker
Jalen Mayfield,1285.550005359497,Blocker
Quincy Roche,828.9120253245281,Rusher
Oshane Ximines,926.8820070316581,Rusher
Tae Crowder,504.30401035053677,Rusher
Leonard Williams,895.9875700604715,Rusher
Jonathan Bullard,819.2255851887944,Rusher
Brandon Copeland,1010.9110881021575,Rusher
Reggie Ragland,794.5957403055672,Rusher
Danny Shelton,979.9298181638942,Rusher
Steven Means,841.67447178514,Rusher
Dante Fowler Jr.,940.9249644055765,Rusher
Austin Johnson,925.5049997393976,Rusher
Carter Coughlin,921.6667659472344,Rusher
Raymond Johnson III,830.6994527684673,Rusher
Jason Spriggs,1030.9824892292706,Blocker
Blake Martinez,678.2967379890675,Rusher
Kyle Van Noy,685.203510119754,Rusher
Charlie Heck,1147.665997673631,Blocker
Tytus Howard,1206.7040623112055,Blocker
Laremy Tunsil,1162.7638461936717,Blocker
Dont'A Hightower,660.0554169440516,Rusher
Justin Britt,1200.3681560279595,Blocker
Max Scharping,1180.3214065944908,Blocker
Jacob Martin,1116.6111850553712,Rusher
Justin Herron,1110.9126755377679,Blocker
Jonathan Greenard,969.5625505698234,Rusher
David Andrews,1205.7700192530785,Blocker
Maliek Collins,955.7399329023431,Rusher
James Ferentz,1208.6689235294446,Blocker
Yodny Cajuste,1159.5884562534313,Blocker
Christian Kirksey,523.2723918989315,Rusher
Ted Karras,1260.908386279872,Blocker
Ja'Whaun Bentley,724.4552955459549,Rusher
Davon Godchaux,934.5633664031353,Rusher
Geron Christian Sr.,1126.116802258055,Blocker
Matthew Judon,789.4287637866234,Rusher
Lawrence Guy,944.299587703529,Rusher
Deatrich Wise Jr.,940.9734008526094,Rusher
Carl Davis Jr.,1005.551995760904,Rusher
Jordan Jenkins,1000.7210268650157,Rusher
Zach Cunningham,681.0485784496619,Rusher
Kamu Grugier-Hill,621.2270745187304,Rusher
Jaleel Johnson,865.887224418318,Rusher
Roy Lopez,880.174761075953,Rusher
Demarcus Walker,1035.6583217029179,Rusher
Christian Barmore,915.8253107759499,Rusher
Chase Winovich,911.4700196486752,Rusher
Whitney Mercilus,866.4413668045792,Rusher
Josh Uche,923.3070291033927,Rusher
Jamie Collins Sr.,821.9944267299071,Rusher
Yannick Ngakoue,982.5909191063347,Rusher
Alex Barshaba,1095.6456736597606,Blocker
Maxx Crosby,871.8842164671544,Rusher
Sam Mustipher,1112.737591322481,Blocker
James Daniels,1211.239262095673,Blocker
Cory Littleton,511.24226526237595,Rusher
Germain Ifedi,1244.0583683038346,Blocker
Quinton Jefferson,972.661475785348,Rusher
Jason Peters,1124.8965282879867,Blocker
Elijah Wilkinson,1146.0998161194916,Blocker
Darius Philon,986.0020773088833,Rusher
Johnathan Hankins,802.4894737026805,Rusher
Cody Whitehair,1239.4137595345537,Blocker
Trevis Gipson,931.4333699965813,Rusher
Kolton Miller,1108.111689390731,Blocker
Roquan Smith,609.3199128846566,Rusher
Andre James,1062.1115557187893,Blocker
Bilal Nichols,910.1754360312617,Rusher
Brandon Parker,1166.7540888822487,Blocker
K.J. Wright,582.3600852431789,Rusher
Khalil Mack,920.183895196993,Rusher
Alex Leatherwood,1131.4593770152808,Blocker
Danny Trevathan,772.2374626708254,Rusher
Jeremiah Attaochu,922.7814426936122,Rusher
John Simpson,1127.5258773758378,Blocker
Robert Quinn,926.9870567686644,Rusher
Mario Edwards Jr.,916.0889159958043,Rusher
Eddie Goldman,967.2893536348622,Rusher
Nick Kwiatkoski,764.6408714058363,Rusher
Angelo Blackson,898.6107566291934,Rusher
Carl Nassib,968.1004680611574,Rusher
Denzel Perryman,399.1095049373833,Rusher
Clelin Ferrell,1033.1175673242712,Rusher
Alec Ogletree,547.380950278921,Rusher
Khyiris Tonga,1035.8396417281472,Rusher
Solomon Thomas,914.4778903756235,Rusher
Nick Bosa,877.6035203633013,Rusher
Kelvin Beachum,1174.8490527922047,Blocker
Fred Warner,504.94483644352636,Rusher
Josh Jones,1151.9409906881842,Blocker
Justin Pugh,1124.585042582483,Blocker
Max Garcia,1083.1003783305096,Blocker
Arik Armstead,968.7046321512853,Rusher
D.J. Humphries,1161.5430119624828,Blocker
Samson Ebukam,917.4888613069666,Rusher
Javon Kinlaw,906.4826256125651,Rusher
Zach Allen,978.4042617010931,Rusher
Trent Williams,1212.1866173974336,Blocker
Azeez Al-Shaair,617.7887347469434,Rusher
Rodney Hudson,1156.7992767471944,Blocker
Dee Ford,825.1948758302916,Rusher
Kentavius Street,927.10655739595245,Rusher
Arden Key,921.4848714890734,Rusher
J.J. Watt,962.9681048895904,Rusher
Chandler Jones,859.4411991290423,Rusher
Laken Tomlinson,1295.5717638620708,Blocker
Daniel Brunskill,1275.4687528353359,Blocker
Mike Mcglinchey,1096.2447833141084,Blocker
Jordan Hicks,673.4728711525142,Rusher
Alex Mack,1136.9139716172685,Blocker
Marcell Harris,628.9064794688384,Rusher
D.J. Jones,949.2826837532338,Rusher
Markus Golden,880.106768383288,Rusher
Corey Peters,1100.2594244215775,Rusher
Isaiah Simmons,649.3434158513867,Rusher
Zaven Collins,747.4409144584473,Rusher
Dennis Gardeck,898.055933831581,Rusher
