"play_uuid","game_id","hit_player","hit"
"d3202737-d4ea-4c15-a9b0-b64a4b8fbaac",1069714,"Leonard Williams",1
"833b67aa-cfb5-43b7-ab1e-ac7280524816",1069714,"Jacob Tuioti-Mariner",1
"0f1d36c4-ceb1-49c2-98cb-8b2c0203d9c2",1069714,"Jabrill Peppers",1
"95eb801e-73a6-429a-85cd-0c4f6558c218",1069784,"Lawrence Guy",1
"21cdd3cd-947b-4b2e-a3f5-9e21e146752e",1069784,"Matthew Judon",1
"80795235-72ce-45bf-8d85-bd211582991a",1069798,"Yannick Ngakoue",1
"d2b22816-e75e-4803-8712-8383f4d99fe6",1069800,"J.J. Watt",1
"76e2064f-928b-44f6-a097-1f28fb8803c7",1069800,"J.J. Watt",1
"6806812d-69fc-478f-8ccb-f4043496b8ae",1069800,"J.J. Watt",1
"8124c4b9-93f7-4c8f-b339-c4d3ee4722fb",1070627,"Dont'A Hightower",1
"1463beca-2c8d-4b3b-b23f-9fb683ce3feb",1070627,"Josh Uche",1
"1463beca-2c8d-4b3b-b23f-9fb683ce3feb",1070627,"Davon Godchaux",1
"44daa567-b35f-4277-88ed-3916959687b7",1070627,"Matthew Judon",1
"2c96545f-0dd0-440a-afb0-79de72b84352",1070627,"Matthew Judon",1
"a2fad6ee-b5b1-4b2e-820c-f8f71fa596a2",1071838,"Maxx Crosby",1
"e2ceaf65-aeaf-4859-92fb-7e44c162c4ab",1071838,"Solomon Thomas",1
"5e276ac8-ae52-4b30-8b90-16655f3d89e7",1071838,"Maxx Crosby",1
"9c2ccbe6-db18-4f45-b9ef-1304c438cd56",1071838,"L'Jarius Sneed",1
"d9a69935-2abd-45a4-9b11-93c31e57b7b1",1071848,"Kenny Clark",1
"fccc235c-7042-4b10-a585-05d52e7e54f4",1071848,"Jamal Adams",1
"30092357-b6a2-4311-bd72-6ed51a4ba20b",1071848,"De'Vondre Campbell",1
"9d01a62f-536a-45e5-9926-cbc3329e7942",1071848,"Whitney Mercilus",1
"16e0c045-4639-43b1-830e-c128264f9033",1071848,"Preston Smith",1
"5113f8af-086e-4e4a-a73e-ed482d01dd20",1071848,"Alton Robinson",1
"7658c05c-2472-4a50-b959-13c98a179654",1071848,"Alton Robinson",1
"ecc71843-6e9d-4205-b7fe-39483e81dbc1",1071848,"Preston Smith",1
"65eaede7-8aae-42ec-bacd-c4b7ac60c894",1071896,"Shaquil Barrett",1
"7680d2fa-a0c7-4de5-b695-dd9a0a77356e",1071896,"Ndamukong Suh",1
"3c2d7a18-72ba-4603-a4ae-6ce04e14f8e6",1071896,"Quincy Roche",1
"4590b7f3-be2c-4da5-a87e-a4fe4636d2cd",1071896,"Joe Tryon-Shoyinka",1
"2bdf69a1-f558-4eaf-807c-1982170bbad9",1071896,"Devin White",1
"7f0ec7ef-5bf1-43e3-a2dd-aff103d297ef",1071896,"Austin Johnson",1
"ac12fe41-2686-407e-b014-017de1333f93",1071896,"Joe Tryon-Shoyinka",1
"0db5d179-675e-4f34-bea5-cc411533e57c",1502045,"Roy Robertson-Harris",1
"35e82bfe-29af-4462-971a-88e756e8c79e",1502045,"K'Lavon Chaisson",1
"7791952b-bc0a-4eaf-9f1b-47af95992093",1502045,"Ross Blacklock",1
"a2200221-8dc5-40ba-9d04-06a074b0b779",1502045,"Davon Hamilton",1
"1d773ef1-4375-4a2e-a28d-93acc2105b25",1502045,"Charles Omenihu",1
"41a03cc3-7742-4600-af4b-b8d1662d9a2d",1502045,"K'Lavon Chaisson",1
"5896e1fa-5068-4013-902f-d1e3bf062f8d",1502045,"Ross Blacklock",1
"40a76a20-6a52-402c-bd6d-f7319acfb557",1502045,"Charles Omenihu",1
"a5dfc0ef-3ee0-46d7-9287-0026ddadab76",1502046,"Uchenna Nwosu",1
"6edf0b58-992c-44d2-9b2d-c572790798b7",1502047,"Carlos Dunlap",1
"6edf0b58-992c-44d2-9b2d-c572790798b7",1502047,"Rasheem Green",1
"fa9dafa8-3684-43a7-a355-84fb6c998c2b",1502047,"Darrell Taylor",1
"fa9dafa8-3684-43a7-a355-84fb6c998c2b",1502047,"Poona Ford",1
"74c8f172-1997-493a-bf53-4c872cc6c0e1",1502047,"Bryan Mone",1
"813da871-8d69-457e-8644-037f6238b4ea",1502048,"Brian Burns",1
"635f625e-8ded-45fb-b2cd-741332dc2fc9",1502048,"Daviyon Nixon",1
"7d322b15-ea44-4c99-b772-056c4cff992e",1502048,"Haason Reddick",1
"b2382216-2d2c-44c4-b3ce-906b8bc25dd9",1502048,"Juston Burris",1
"34948491-d446-4feb-8b0b-44ca830444e7",1502049,"Everson Griffen",1
"82376187-f904-4cfa-abd1-83067c6ce97e",1502049,"Trey Hendrickson",1
"442c8712-7627-46e1-8544-762a38801064",1502050,"J.J. Watt",1
"3bf019c9-5cb2-4c5f-8b6c-d8551403682e",1502050,"Jeffery Simmons",1
"51ccdae1-623f-4421-beea-625ca464874a",1502051,"Melvin Ingram",1
"67bd4a76-2556-4b2e-9003-46da94feac73",1502051,"Tyson Alualu",1
"ccc5ca4d-62b1-4828-94d1-cbe4b3c3e152",1502053,"Anthony Walker Jr.",1
"b929d7b5-94a0-4eff-9f80-066c754bf440",1502054,"Preston Smith",1
"49fd781e-85fc-4f87-95c3-9b8f21104e96",1502054,"Rashan Gary",1
"4b20cd45-a7d4-4109-8390-6f4ba6eb0841",1502054,"Cameron Jordan",1
"6d8bda44-42d9-4946-8fcf-f013667a2034",1502054,"Kenny Clark",1
"e1132f2b-ced2-4cd9-b6fe-fd29f6362e65",1502055,"Azeez Ojulari",1
"bc92b79f-b048-438b-a275-d0a5727fe71e",1502057,"Maxx Crosby",1
"bc92b79f-b048-438b-a275-d0a5727fe71e",1502057,"Yannick Ngakoue",1
"7e7819ef-e7de-4543-98aa-5926d5ea9f8b",1502059,"Lorenzo Carter",1
"8b6821ed-9039-4498-83ed-4c17f4bac58d",1502059,"Daron Payne",1
"7eeed86c-c841-4a1e-aa1e-f8f2a9872489",1502061,"Myles Jack",1
"11af6053-9a95-406a-a771-04efbda74945",1502062,"A.J. Epenesa",1
"34e90816-2ca7-46cf-b619-8da081b5e560",1502062,"Aaron James Klein",1
"34e90816-2ca7-46cf-b619-8da081b5e560",1502062,"A.J. Epenesa",1
"e075d589-2551-4a51-a4d4-7c2dc8d763a6",1502063,"D.J. Jones",1
"16cee152-1447-4322-a070-be0490001399",1502064,"Aaron Donald",1
"4eec5722-d237-4592-beb8-64df8125a4cd",1502064,"Sebastian Joseph-Day",1
"4eec5722-d237-4592-beb8-64df8125a4cd",1502064,"Justin Hollins",1
"3d013c33-7dfd-4cee-a0a4-afdc59407ea9",1502065,"Yannick Ngakoue",1
"18ca0493-fe44-483b-968e-a571ad76e32a",1502066,"D.J. Reader",1
"ac5ef0a0-6c6e-4618-b616-505711c722b4",1502067,"Takkarist Mckinley",1
"5ae9a3e9-8349-475f-9018-8abced503d9f",1502068,"Bravvion Roy",1
"590a0dfd-a986-4c01-ab00-4eb027725736",1502068,"Brian Burns",1
"39e751c1-7ba7-4a8e-adc9-d19ab0a0edfb",1502068,"Marquis Haynes Sr.",1
"39e751c1-7ba7-4a8e-adc9-d19ab0a0edfb",1502068,"Morgan Fox",1
"c4296e4e-b527-463e-ab2d-a12e07a5e85d",1502069,"Danielle Hunter",1
"f4fdcce6-bdb1-4062-af82-741ac7ab705e",1502069,"Chandler Jones",1
"0d0e46c7-10df-4b65-954e-35d29e106a6f",1502069,"Stephen Weatherly",1
"74257ab5-0054-4dbb-b68c-889d344f5e58",1502071,"Osa Odighizuwa",1
"e494a2ae-ff1b-4608-975b-0fea177a97d7",1502073,"Chauncey Rivers",1
"b1ead3de-a7c6-411f-aaa0-4f99b73e777a",1502074,"Jaleel Johnson",1
"7a15ba7e-3808-4fd9-94ac-2c47699aee94",1502074,"Haason Reddick",1
"f89270e8-9ecd-4de2-a2b3-176221144127",1502074,"Haason Reddick",1
"8c9b9b81-f76a-410a-8635-01ad7e48d925",1502074,"Haason Reddick",1
"01caed1b-d040-4449-b494-8fa42de3770f",1502074,"Shaq Thompson",1
"01caed1b-d040-4449-b494-8fa42de3770f",1502074,"Haason Reddick",1
"a3a0050b-1f6e-49b8-9a10-43d5c977b510",1502075,"Deforest Buckner",1
"a3a0050b-1f6e-49b8-9a10-43d5c977b510",1502075,"Kemoko Turay",1
"12815923-df21-4915-a2d3-9586818dec0a",1502075,"Tyquan Lewis",1
"454b7aad-4480-4b1e-b724-b523dbee091d",1502075,"Harold Landry III",1
"389b76f3-9437-462e-87af-377796ff6320",1502075,"Denico Autry",1
"6ad61b9b-2097-48ac-8d45-0f18764c2816",1502076,"Tershawn Wharton",1
"6ad61b9b-2097-48ac-8d45-0f18764c2816",1502076,"Chris Jones",1
"6ad61b9b-2097-48ac-8d45-0f18764c2816",1502076,"Jarran Reed",1
"bca7a813-e5df-4ba7-a246-2f954ebdfd02",1502078,"Jeremiah Attaochu",1
"0a3040bb-73cf-4e0d-a4dc-48dcf4e63c1c",1502078,"Myles Garrett",1
"cb67a3a7-8cbb-488b-8b50-b911ebda500c",1502078,"Malik Mcdowell",1
"6cf781cf-acdf-4366-af53-418d5351c138",1502079,"Tyus Bowser",1
"793bcc84-d301-4281-aff2-d3c4e3449e3b",1502079,"Romeo Okwara",1
"7db04aa9-ad83-4269-ab1f-478544d944a1",1502079,"Aj Parker",1
"31ce7301-156b-4561-9021-de7da0c9f97d",1502079,"Julian Okwara",1
"31ce7301-156b-4561-9021-de7da0c9f97d",1502079,"Romeo Okwara",1
"44ed1e0c-2ab5-4e8e-84e6-44652699d4cf",1502080,"Shy Tuttle",1
"a08a2a84-5e3c-4335-a05e-f441510e4e9c",1502080,"Kyle Dugger",1
"4c6c3746-b69d-4603-99d2-ab875000e0e5",1502080,"Chase Winovich",1
"4b2972b2-be72-487a-a5cc-c30a1b9f6b4f",1502082,"Chase Young",1
"50451aed-6a12-411c-ac1a-32e089c1a378",1502083,"Sheldon Rankins",1
"e084399c-9118-403b-bea2-c710624c231d",1502083,"Von Miller",1
"541cdec9-bb7a-4e16-a3a0-d281dded0a12",1502083,"Malik Reed",1
"84ece47e-8fe8-4ddf-a45c-adad0e9a37c9",1502083,"Malik Reed",1
"0ea18d89-f325-4c84-bacf-e9f11abfb99f",1502083,"Deshawn Williams",1
"0f44b2c3-7936-47e8-903e-4a979c15a42a",1502084,"Maxx Crosby",1
"35be246d-719c-4f20-b61d-f4355ec69da0",1502084,"Emmanuel Ogbah",1
"b1f4c313-48cb-4747-9161-fb549d9dd4e7",1502084,"Yannick Ngakoue",1
"a4854ec0-c1a1-4453-a1ef-b8604cb8f6e1",1502084,"Johnathan Abram",1
"b3add722-3e0a-45ff-9efe-2b03ca1fc940",1502084,"Maxx Crosby",1
"e7f1c119-6b84-47b7-959e-a39c8b27a61a",1502084,"Darius Philon",1
