player_name,final_elo,role
Tyeler Davison,738.0975406443364,Rusher
Billy Price,1140.2413036691498,Blocker
Marlon Davidson,707.4093464013595,Rusher
Will Hernandez,1147.676547649288,Blocker
Nate Solder,1144.0944290731554,Blocker
Ben Bredeson,1138.400927142885,Blocker
Adetokunbo Ogundeji,698.330096233653,Rusher
Andrew Thomas,1159.1380861313112,Blocker
Grady Jarrett,732.7792358317158,Rusher
Steven Means,687.8088904445318,Rusher
Dexter Lawrence,760.0779562490538,Rusher
Chris Lindstrom,1145.7802079197081,Blocker
Leonard Williams,753.3969083842061,Rusher
Jalen Mayfield,1108.718031546654,Blocker
Matt Hennessy,1165.536010355868,Blocker
Lorenzo Carter,726.4224446721389,Rusher
Kaleb McGary,1116.6347202628162,Blocker
Azeez Ojulari,722.1441164645306,Rusher
Jake Matthews,1160.3310334127466,Blocker
Quincy Roche,752.0927437331392,Rusher
Oshane Ximines,716.834107243819,Rusher
Jonathan Bullard,730.0360815277346,Rusher
Ta'Quon Graham,722.9794476496833,Rusher
Austin Johnson,728.004383955436,Rusher
Danny Shelton,709.99850302291,Rusher
Raymond Johnson III,738.9240715875547,Rusher
Dante Fowler Jr.,731.628659317211,Rusher
Deion Jones,743.402388262922,Rusher
Brandon Copeland,736.7197822485886,Rusher
Carter Coughlin,747.4095974783814,Rusher
Jacob Tuioti-Mariner,778.8540353148843,Rusher
Jason Spriggs,1140.1452964090863,Blocker
Reggie Ragland,735.2869250286292,Rusher
Tae Crowder,724.7899126036197,Rusher
Foyesade Oluokun,726.0826549060708,Rusher
Mykal Walker,746.2586525468428,Rusher
Christian Barmore,748.5851753462897,Rusher
Justin Britt,1117.7421156636515,Blocker
Matthew Judon,748.6842530552747,Rusher
Charlie Heck,1099.8844621931269,Blocker
Josh Uche,784.216426501706,Rusher
Laremy Tunsil,1142.5612789897955,Blocker
Max Scharping,1135.9318624416321,Blocker
Dont'A Hightower,703.4229377647869,Rusher
Tytus Howard,1157.4038256606814,Blocker
